Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-27118.2	-27096.1	-22.0721	7.20294	0.00412462	0.0869005	0.00213839	0.0744015	0.0418902	0.154194	0.0636364	0.190123	0.141274	0.015785	0.0250723	0.0228741	0.0428052	0.0144843	0.098864	0.00989123	0.27137	0.0802884	0.212384	0.184028	0.10569	0.0135718	0.0186769	0.0151244	0.0033857	0.371065	0.137751	0.0829435	0.0720931	0.00602239	0.0256663	0.36181	0.169536	0.235775	0.235015	0.0838162	0.00983686	0.0887455	0.0099847	0.0121865	0.00683699	0.0501254	0.0956189	0.0902776	0.0906505	0.0927321	0.382011	0.106489	0.23784	0.573915	0.842911	1.07848	1.50469	0.884798	0.0521317	0.016252	0.0468186	3.9478
10	-15671.2	-15653	-18.2742	0.300011	0.0058516	0.130714	0.00614266	0.102606	0.0764913	0.165347	0.104619	0.129046	0.146897	0.046205	0.14514	0.117156	0.263211	0.0489867	0.14355	0.0219426	0.167965	0.134426	0.219732	0.109041	0.072804	0.0363059	0.0309977	0.0689386	0.00159548	0.135279	0.0970665	0.0983395	0.063293	0.00733566	0.0117438	0.0656725	0.0342561	0.0637023	0.139402	0.0067643	0.0115746	0.0610567	0.00542004	0.0112518	0.0200196	0.0985671	0.176066	0.0374179	0.388369	0.0517016	0.102639	0.328261	0.0916123	0.00529622	0.104504	0.595822	3.29438	0.529758	0.263403	0.0218337	0.185005	3.60252
20	-15000.7	-14961.6	-39.0807	0.287492	0.0206312	0.187627	0.0270779	0.157191	0.221808	0.360682	0.165954	0.18818	0.232564	0.261817	0.164462	0.233583	0.295388	0.0585661	0.243588	0.127642	0.306903	0.286701	0.336453	0.166671	0.0979519	0.183106	0.0915638	0.115125	0.0141586	0.154964	0.120178	0.107324	0.193771	0.0220233	0.00396174	0.0493439	0.0262176	0.0271233	0.0525727	0.00460589	0.00949502	0.0265177	0.00945505	0.0487452	0.0191863	0.0916436	0.170716	0.0308119	0.474473	0.0425738	0.0729329	0.270307	0.108901	0.00433563	0.0948068	0.574186	3.32667	0.4545	0.280753	0.0790587	0.185688	5.68324
30	-14512.4	-14456	-56.4261	0.271424	0.0647743	0.457482	0.159077	0.20778	0.3195	0.414658	0.211864	0.137789	0.225787	0.567163	0.128926	0.259475	0.543963	0.0894587	0.19213	0.282823	0.339657	0.123285	0.324932	0.175884	0.130095	0.33491	0.218386	0.138416	0.0113636	0.0889678	0.322417	0.0755604	0.246849	0.0324654	0.010325	0.0246379	0.0756463	0.0123047	0.0952413	0.00851522	0.00785411	0.0182473	0.00497725	0.0318836	0.0264014	0.0348336	0.241158	0.0332577	0.512137	0.0459534	0.0509753	0.291764	0.0659123	0.003264	0.0825413	0.544543	3.36965	0.388015	0.333312	0.0674938	0.211179	7.41786
40	-14318.7	-14231.8	-86.9881	0.29358	0.230237	0.241801	0.274155	0.236011	0.449946	0.645182	0.327096	0.140073	0.355326	0.97625	0.2336	0.18414	0.843298	0.187936	0.266508	0.337818	0.720222	0.0979795	0.526632	0.334743	0.116548	0.253569	0.505488	0.0701266	0.116392	0.0878531	0.22643	0.0367725	0.410577	0.0162966	0.00591961	0.00859867	0.0665881	0.0235985	0.210188	0.00830251	0.0041845	0.0711123	0.00957215	0.252104	0.0082658	0.0311453	0.325365	0.0353947	0.351219	0.0489061	0.0542507	0.433584	0.0766463	0.00478903	0.0995111	0.584862	3.31084	0.388015	0.333312	0.0674938	0.211179	10.474
50	-14138	-14039.6	-98.3622	0.266734	0.301887	0.318808	0.475876	0.279272	0.613453	0.612284	0.413355	0.399672	0.396761	1.01161	0.140549	0.158308	0.703702	0.18484	0.301009	0.558285	0.683752	0.139544	0.679162	0.292732	0.225069	0.336042	0.462967	0.191055	0.0716511	0.0980333	0.227517	0.0465382	0.445912	0.00811321	0.0153923	0.0103593	0.0460256	0.0102923	0.166659	0.0220091	0.00403879	0.00931258	0.0384903	0.218899	0.0299376	0.0600503	0.202266	0.0292089	0.464108	0.0403589	0.0447694	0.365017	0.0565383	0.00298507	0.0790138	0.535473	3.38253	0.356839	0.350292	0.0709322	0.221937	11.6115
60	-14032.4	-13930.8	-101.588	0.250816	0.286143	0.312534	0.627777	0.36498	0.719731	0.451705	0.451351	0.377023	0.414776	0.646645	0.189946	0.159797	0.670311	0.167896	0.362454	0.594431	0.659155	0.214116	0.716794	0.252338	0.1883	0.285268	0.547519	0.230783	0.244808	0.0596294	0.24343	0.0755856	0.248506	0.0164193	0.0169977	0.0222717	0.0487608	0.0188642	0.262699	0.0297959	0.00265028	0.0633133	0.0400087	0.110942	0.192867	0.137754	0.207108	0.0264681	0.419961	0.0365718	0.0405685	0.425197	0.0512331	0.00214998	0.0672796	0.503202	3.42737	0.356839	0.350292	0.0709322	0.221937	11.9342
70	-13948.8	-13855.4	-93.3388	0.250816	0.274095	0.497595	0.442481	0.296875	0.504862	0.416479	0.377847	0.377023	0.414776	0.630795	0.190295	0.258197	0.768419	0.156181	0.283355	0.610408	0.552892	0.186096	0.567763	0.284172	0.226751	0.268263	0.7061	0.188274	0.170529	0.041442	0.258554	0.0574294	0.134935	0.0387645	0.0181486	0.0502415	0.0430795	0.0278313	0.179919	0.0529349	0.0139585	0.0714567	0.0401897	0.0480623	0.118086	0.0732077	0.190472	0.0226857	0.385087	0.0313456	0.0427393	0.474231	0.0439116	0.00214998	0.0672796	0.503202	3.42737	0.399036	0.32731	0.0662784	0.207376	11.1092
80	-13864.5	-13766	-98.4607	0.250816	0.375684	0.363081	0.371752	0.311358	0.523959	0.484678	0.496149	0.404179	0.36721	0.547083	0.147151	0.188673	0.948223	0.193927	0.359483	0.687357	0.552892	0.24335	0.818654	0.354269	0.288013	0.225574	0.515412	0.130438	0.104131	0.02369	0.123457	0.1349	0.162722	0.0902566	0.0341874	0.0949237	0.0102556	0.0965858	0.268444	0.0773008	0.0317101	0.0270403	0.0378007	0.00996809	0.088108	0.140604	0.166786	0.0244587	0.307967	0.0337954	0.0460797	0.538383	0.0493159	0.00214998	0.0672796	0.503202	3.42737	0.399036	0.32731	0.0662784	0.207376	11.6214
90	-13703.3	-13608.3	-94.9713	0.260963	0.268592	0.334318	0.283966	0.393525	0.490514	0.600611	0.339545	0.396386	0.385413	0.391512	0.173512	0.176335	0.756833	0.140891	0.285194	0.654777	0.479743	0.227766	0.991046	0.316093	0.230548	0.218934	0.466105	0.0358863	0.0611309	0.0354422	0.332668	0.05496	0.118492	0.118382	0.0478403	0.17939	0.0218062	0.216511	0.244805	0.220961	0.115203	0.0378975	0.0535904	0.00905432	0.0989704	0.104919	0.162363	0.0227928	0.355101	0.0314936	0.0429412	0.501714	0.045957	0.00266254	0.0747135	0.524042	3.39858	0.387851	0.333402	0.067512	0.211235	11.2724
