Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-17832.3	-17801.9	-30.3468	0.905144	0.249855	0.269213	0.164354	0.123812	0.0142619	0.00759436	0.0333371	0.014605	0.219127	0.168226	0.0753525	0.0199223	0.0216911	0.0652266	0.456053	0.144227	0.0164176	0.222656	0.0665763	0.0797049	0.0584082	0.0441631	0.0994848	0.0436818	0.0038725	0.0862229	0.0862724	0.137528	0.176556	0.147278	0.51321	0.0560442	0.0766498	0.00452487	0.206309	0.0233625	0.109149	0.220768	0.259818	0.00803611	0.0259619	0.120841	0.0338471	0.199937	0.159639	0.230968	0.0905268	0.208731	0.110197	0.117661	0.446259	0.982314	2.45377	0.107972	0.541323	0.053149	0.297556	4.9742
10	-15022.4	-15008.3	-14.1427	0.226975	0.093199	0.103268	0.0881637	0.114855	0.0298551	0.0210382	0.0519192	0.0363847	0.169311	0.13022	0.215682	0.043456	0.0811581	0.092478	0.139521	0.149399	0.101403	0.064343	0.11827	0.170915	0.043971	0.049781	0.148354	0.105437	0.0148298	0.0719177	0.0770693	0.0682289	0.101362	0.0387932	0.194255	0.0239384	0.0368999	0.0143801	0.0553411	0.00845637	0.094342	0.090052	0.03386	0.0035454	0.0162243	0.0644801	0.00716782	0.138529	0.233366	0.0979417	0.0375132	0.416298	0.0763519	0.00120647	0.0506423	0.450353	3.4978	0.169738	0.374508	0.190006	0.265748	3.37753
20	-14300.8	-14275.2	-25.5294	0.292667	0.11214	0.101763	0.161251	0.0927515	0.147912	0.0557922	0.159009	0.0966903	0.266711	0.180716	0.188688	0.163944	0.160894	0.113742	0.24778	0.126265	0.141039	0.0948426	0.282846	0.188418	0.0613417	0.106951	0.145259	0.271968	0.00412885	0.0417913	0.112291	0.0426056	0.124125	0.0267987	0.0287929	0.0497157	0.0243705	0.00738005	0.0159382	0.00684821	0.208171	0.0831971	0.0112963	0.0102053	0.00983591	0.0330248	0.004665	0.0724725	0.371568	0.0512388	0.0196253	0.445151	0.039944	0.00471932	0.0988036	0.583279	3.3132	0.31901	0.355281	0.0736044	0.252105	4.5139
30	-14006.9	-13965.6	-41.3097	0.286153	0.135533	0.109618	0.203347	0.0877012	0.180194	0.103254	0.1918	0.131579	0.260561	0.273187	0.272677	0.287026	0.258844	0.180964	0.256344	0.118735	0.207983	0.130511	0.309597	0.248203	0.041469	0.140808	0.214683	0.395438	0.0116213	0.0284614	0.105829	0.0228918	0.182291	0.0379429	0.0183853	0.176001	0.0359527	0.012418	0.0235867	0.01015	0.515013	0.0613857	0.00808907	0.0107626	0.0145325	0.0578768	0.0189068	0.072718	0.372827	0.0514124	0.0196917	0.443272	0.0400792	0.00423941	0.0937757	0.571798	3.33019	0.308062	0.373281	0.0720107	0.246646	6.09215
40	-13885.9	-13835.2	-50.7486	0.303463	0.168928	0.119847	0.280445	0.0906328	0.306521	0.217677	0.238524	0.16063	0.251184	0.298016	0.329852	0.304824	0.311923	0.152009	0.298284	0.157092	0.189784	0.107881	0.436889	0.380053	0.0844767	0.178621	0.183202	0.157236	0.0046982	0.0338645	0.0394116	0.0498381	0.214791	0.0593498	0.0321574	0.235627	0.0200208	0.098629	0.0078213	0.00743824	0.665919	0.0471393	0.00644243	0.0610761	0.00871963	0.0243475	0.0136176	0.0734146	0.376398	0.0519049	0.0198804	0.447518	0.0308833	0.00558045	0.107192	0.601573	3.28565	0.319269	0.367235	0.0708444	0.242652	7.03544
50	-13837.4	-13788.6	-48.8105	0.307189	0.152224	0.146407	0.223289	0.0764287	0.249392	0.212091	0.245452	0.158548	0.198448	0.227834	0.334288	0.248994	0.29567	0.166629	0.302935	0.119621	0.223463	0.0928616	0.720644	0.288761	0.0909539	0.135513	0.161629	0.0685244	0.0286065	0.0321041	0.0217618	0.0630929	0.12257	0.0615379	0.0418172	0.32433	0.0166967	0.234906	0.00304692	0.00508841	0.586539	0.03623	0.00493623	0.0678678	0.0164977	0.0161208	0.0171421	0.0753604	0.359871	0.0532805	0.0204073	0.459379	0.0317018	0.0058966	0.110098	0.607681	3.27632	0.301394	0.376878	0.0727047	0.249023	6.84149
60	-13777.8	-13731.4	-46.3934	0.302763	0.130523	0.108028	0.234673	0.129028	0.258019	0.20965	0.25818	0.180064	0.181005	0.203005	0.238515	0.195023	0.28486	0.246173	0.355354	0.119799	0.2435	0.119232	0.556761	0.299958	0.0779174	0.167212	0.168554	0.00961534	0.0120081	0.0394223	0.0168527	0.10369	0.125278	0.0371838	0.0160657	0.31363	0.0222567	0.245696	0.00326992	0.011058	0.539153	0.0285771	0.0114126	0.0507301	0.00904226	0.0130523	0.026914	0.0753604	0.359871	0.0532805	0.0204073	0.459379	0.0317018	0.00552213	0.106646	0.600414	3.28742	0.301394	0.376878	0.0727047	0.249023	6.59994
70	-13747.3	-13701.4	-45.8684	0.297799	0.197527	0.105591	0.234673	0.169816	0.202128	0.214515	0.271761	0.190945	0.155042	0.152949	0.333543	0.211906	0.246947	0.187241	0.323508	0.116291	0.216092	0.0691057	0.610624	0.299338	0.0993291	0.135246	0.191726	0.0245028	0.00326671	0.00692215	0.046647	0.0994688	0.10377	0.0626476	0.0193636	0.239173	0.036051	0.23347	0.00175774	0.00841954	0.548585	0.0628118	0.0234248	0.0124416	0.0259972	0.0256637	0.0273862	0.0753604	0.359871	0.0532805	0.0204073	0.459379	0.0317018	0.00511847	0.102784	0.592088	3.30001	0.302344	0.374914	0.0729338	0.249808	6.54761
80	-13633.7	-13591.6	-42.0586	0.313932	0.174051	0.0802751	0.209321	0.18103	0.235619	0.145809	0.302341	0.166042	0.124668	0.15831	0.13562	0.158457	0.26671	0.230251	0.269988	0.088597	0.171998	0.0882264	0.654113	0.299338	0.0679666	0.134887	0.250146	0.0194009	0.00648199	0.00987422	0.0408458	0.0577277	0.138083	0.0206683	0.0321708	0.127652	0.213324	0.181684	0.00471318	0.031367	0.462768	0.0124072	0.0216487	0.0152081	0.0929163	0.0139062	0.0694536	0.0719434	0.389117	0.0506432	0.019482	0.43855	0.0302644	0.00649334	0.115368	0.618475	3.25966	0.310934	0.384881	0.0748727	0.229311	6.16607
90	-13625	-13583.4	-41.5891	0.313932	0.124614	0.071119	0.210214	0.225838	0.193154	0.194496	0.216139	0.159924	0.17811	0.140717	0.142571	0.224225	0.273513	0.172068	0.231069	0.140849	0.130297	0.0771579	0.622717	0.269927	0.0916957	0.1489	0.226582	0.0212787	0.0144246	0.0173712	0.045395	0.0467133	0.0860852	0.0155064	0.0470456	0.211475	0.264896	0.103516	0.0126218	0.0946966	0.436349	0.00614036	0.0198306	0.0219616	0.0730332	0.0235343	0.0913488	0.0644337	0.373743	0.0453569	0.0174484	0.471912	0.0271053	0.00649334	0.115368	0.618475	3.25966	0.310934	0.384881	0.0748727	0.229311	6.11912
