Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-27.5707	0	-27.5707	8.5153	0.0368336	0.0268807	0.154779	0.190791	0.134014	0.250101	0.0482799	0.0124396	0.108553	0.0110748	0.0701848	0.0334253	0.0868563	0.204242	0.342092	0.125775	0.308989	0.00122415	0.0881091	0.0934278	0.0459976	0.0725552	0.358718	0.0907767	0.101429	0.0517314	0.0981225	0.0159798	0.0581054	0.0248356	0.0153473	0.0997234	0.0200284	0.121392	0.00857859	0.0990552	0.085202	0.425529	0.0269162	0.0548892	0.0278854	0.12559	0.134637	0.497818	0.257778	0.0434554	0.112174	0.0635499	0.0252249	0.604114	0.85792	1.07549	1.46248	0.344667	0.386111	0.0142766	0.254945	4.4911
10	-24.9389	0	-24.9389	33.0782	0.0459389	0.0435583	0.0549702	0.203534	0.215335	0.111502	0.0621196	0.00883329	0.0578396	0.0538724	0.0336161	0.0852251	0.24379	0.107375	0.288364	0.0348954	0.0355995	0.000523171	0.094852	0.229621	0.0585698	0.253945	0.134804	0.0184261	0.0346184	0.106048	0.103795	0.0101568	0.051424	0.107269	0.0311892	0.0835422	0.0104524	0.185134	0.00933277	0.222114	0.152963	0.291588	0.0130987	0.0237459	0.0935743	0.0394792	0.058474	0.485885	0.27089	0.114138	0.0555491	0.0631282	0.0104089	0.788455	0.93525	1.04751	1.22879	0.150369	0.29881	0.00211812	0.548703	4.10511
20	-26.9326	0	-26.9326	30.4695	0.131845	0.277319	0.0671446	0.263079	0.102557	0.0412057	0.177112	0.013245	0.0521219	0.0681301	0.00773611	0.196009	0.0618816	0.259262	0.132099	0.0182816	0.0757318	0.00120035	0.0403233	0.100509	0.0441007	0.549455	0.189666	0.0213956	0.0576626	0.278908	0.129209	0.00842405	0.0992749	0.0801531	0.0239435	0.133525	0.0129635	0.122432	0.00786602	0.0837432	0.0556257	0.0697153	0.00673792	0.0305921	0.166096	0.0455551	0.0136818	0.531085	0.0557862	0.0860599	0.00564206	0.25217	0.0692576	0.780035	0.932188	1.04909	1.23868	0.228004	0.246554	0.416374	0.109068	4.31752
30	-30.6157	0	-30.6157	47.6425	0.053411	0.757589	0.140177	0.269986	0.0654772	0.0357899	0.305887	0.0376798	0.0588274	0.0517784	0.0139515	0.0721582	0.0346742	0.0780323	0.147436	0.0131513	0.186604	0.00377036	0.0399361	0.14572	0.0493732	0.553791	0.119002	0.0691549	0.067185	0.0763674	0.0754969	0.0128289	0.0650303	0.0392042	0.0863028	0.0857564	0.0056341	0.168188	0.00320637	0.0692606	0.168038	0.177402	0.0110739	0.0207698	0.103784	0.0184072	0.0426713	0.277779	0.00237277	0.000283027	0.316203	0.276938	0.126424	0.822322	0.947159	1.04086	1.18966	0.0614569	0.212798	0.155776	0.569969	4.59996
40	-29.9819	0	-29.9819	80.842	0.102555	0.243811	0.172077	0.420711	0.182717	0.214126	0.0458467	0.0726295	0.189748	0.105753	0.0180299	0.0366753	0.135608	0.099405	0.0694874	0.03225	0.0599632	0.0176905	0.0336408	0.0742745	0.0429654	0.222398	0.0241035	0.109914	0.104489	0.0480569	0.186241	0.036101	0.0555946	0.023303	0.0745909	0.203551	0.00535313	0.0572934	0.00825573	0.075036	0.0771591	0.437673	0.0287688	0.0323611	0.144512	0.0336139	0.0122511	0.15713	0.0521424	0.54635	0.13536	0.055269	0.0537486	0.862381	0.960443	1.03249	1.14468	0.203518	0.235942	0.398354	0.162185	4.37058
50	-36.9864	0	-36.9864	32.406	0.144749	0.194148	0.108747	0.580436	0.0793572	0.531453	0.0417799	0.0320841	0.16764	0.0420429	0.0185631	0.0216506	0.104619	0.136201	0.06696	0.0549386	0.0317197	0.0454492	0.0376485	0.357694	0.129794	0.184889	0.063367	0.297176	0.0871842	0.0475675	0.0681773	0.116142	0.0891599	0.04507	0.0555483	0.139092	0.0215908	0.0363384	0.00560496	0.0949814	0.0407167	0.523783	0.019627	0.0170303	0.36738	0.0228114	0.0422982	0.157115	0.0792258	0.197794	0.184673	0.0915249	0.289666	0.78638	0.934499	1.0479	1.23122	0.0342249	0.148841	0.314379	0.502555	5.31321
60	-39.1788	0	-39.1788	14.7334	0.0934531	0.174893	0.120607	0.64452	0.04706	0.377097	0.0578008	0.0704171	0.254225	0.0544028	0.030179	0.0558347	0.0787898	0.0899333	0.0564892	0.158964	0.0128041	0.0974593	0.056857	0.0637805	0.0738102	0.318469	0.117774	0.236954	0.100842	0.114939	0.147872	0.218563	0.30476	0.0445233	0.0234144	0.0612374	0.0116512	0.0241515	0.0060421	0.0980143	0.0235329	0.211791	0.059348	0.0207514	0.223662	0.00334758	0.579802	0.379554	0.00770766	0.264919	0.0153333	0.227286	0.1052	0.690981	0.897192	1.06419	1.34764	0.00792824	0.175098	0.315361	0.501613	5.62082
70	-31.9649	0	-31.9649	12.7211	0.0674586	0.392195	0.14148	0.32156	0.0592478	0.115808	0.0561992	0.047974	0.238045	0.0488657	0.0225138	0.159307	0.0541902	0.0844828	0.0910409	0.0897111	0.0511485	0.07321	0.0619738	0.0895741	0.031877	0.138329	0.112553	0.161134	0.111513	0.0853095	0.11595	0.338178	0.257953	0.239947	0.0251968	0.0277195	0.00817968	0.0852328	0.00257926	0.0836889	0.00588349	0.124419	0.0681665	0.143023	0.422956	0.0185095	0.0352096	0.345207	0.00331164	0.234472	0.262171	0.0976547	0.0571838	0.669483	0.887978	1.06733	1.37521	0.150821	0.0735955	0.238328	0.537255	4.90949
80	-23.5812	0	-23.5812	18.6778	0.0685104	0.249503	0.107525	0.121998	0.0209415	0.163362	0.0627074	0.0341218	0.139904	0.0588823	0.00609976	0.119021	0.0293865	0.0413147	0.0933034	0.108252	0.025186	0.24167	0.0148824	0.105641	0.129631	0.128159	0.0731823	0.10686	0.153146	0.157455	0.135917	0.18009	0.155871	0.113936	0.00258081	0.0485183	0.00671159	0.115182	0.001574	0.167937	0.0139409	0.0538937	0.123748	0.0809788	0.219901	0.0171948	0.0427104	0.333645	0.000123733	0.0634704	0.0750143	0.273706	0.25404	0.723112	0.91039	1.05912	1.30738	0.518789	0.301351	0.0149228	0.164937	4.04133
90	-26.3459	0	-26.3459	9.65735	0.0615624	0.0947057	0.0477013	0.358045	0.0252923	0.0727889	0.0334996	0.00699658	0.295731	0.0380522	0.00408161	0.152418	0.0443198	0.102484	0.0631838	0.0324004	0.0189417	0.204576	0.0548016	0.18588	0.0294621	0.0970288	0.039863	0.269722	0.20449	0.0583436	0.2424	0.177096	0.138108	0.30636	0.00167663	0.0400331	0.00272307	0.0588259	0.00360819	0.100406	0.0787014	0.00994973	0.253117	0.117044	0.163998	0.0415565	0.0309296	0.0754616	0.0591076	0.385089	0.0440562	0.107335	0.328951	0.625673	0.868187	1.07304	1.4331	0.638542	0.124319	0.185486	0.051654	4.36291
