Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19548.1	-19512.1	-35.9708	0.173311	0.313537	0.0689508	0.0593721	0.00521236	0.135417	0.0622276	0.237157	0.0232703	0.176095	0.0458816	0.0267187	0.143497	0.0146245	0.111383	0.376605	0.371115	0.101521	0.156192	0.273363	0.0108043	0.125887	0.0104016	0.226969	0.0257479	0.125571	0.11606	0.217298	4.37554e-05	0.140747	0.0557777	0.084884	0.134606	0.00558631	0.068363	0.0223504	0.105408	0.244213	0.0481983	0.117274	0.157911	0.0746998	0.0210801	5.01533
10	-17956.4	-17932.3	-24.1576	0.0896424	0.197848	0.109722	0.185845	0.0197134	0.154863	0.0914688	0.128019	0.100266	0.132412	0.137739	0.079738	0.118843	0.0743675	0.183572	0.265075	0.180335	0.101647	0.187264	0.163365	0.0129127	0.268453	0.0470811	0.103845	0.0258116	0.023563	0.0345038	0.0380869	0.000124475	0.0298017	0.0397775	0.0148206	0.100188	0.00833968	0.0335073	0.026647	0.0336946	0.137285	0.0568961	0.0398014	0.0192612	0.0268228	0.011047	3.83402
20	-17504.5	-17480.4	-24.0543	0.13679	0.170741	0.146454	0.145874	0.032578	0.192775	0.117096	0.131557	0.108681	0.11631	0.16393	0.128346	0.147829	0.118709	0.168774	0.189573	0.180335	0.112448	0.13963	0.158681	0.0168674	0.253942	0.167547	0.0611738	0.037272	0.0230289	0.0228372	0.0346581	0.000438004	0.0304316	0.0122384	0.00692037	0.0407472	0.0219688	0.0789147	0.0238837	0.0310339	0.0304673	0.0568711	0.0206369	0.0214721	0.0146478	0.00857786	3.82369
30	-17076.8	-17056.6	-20.2429	0.0924218	0.119056	0.117636	0.154897	0.0770951	0.173909	0.104117	0.124952	0.0691729	0.12823	0.138708	0.148311	0.0667801	0.126557	0.143951	0.146785	0.143571	0.0995197	0.15213	0.142768	0.112577	0.215917	0.11809	0.0307096	0.0304925	0.0243795	0.0228931	0.0146041	0.00419553	0.0691137	0.0163721	0.00553448	0.0141735	0.0315452	0.0587737	0.0188352	0.0232303	0.0266993	0.0539072	0.0238906	0.0305401	0.0238303	0.00166801	3.44254
40	-16829.1	-16808.5	-20.5905	0.0907346	0.11004	0.106285	0.144609	0.0972778	0.0993939	0.106852	0.119473	0.0942541	0.129986	0.120967	0.126908	0.116497	0.132338	0.143951	0.131703	0.127139	0.0999873	0.131033	0.136181	0.107101	0.226287	0.102375	0.0115752	0.0435444	0.0516969	0.0746388	0.00430291	0.0253668	0.0692419	0.0219228	0.00470673	0.0247209	0.039042	0.0708622	0.0292997	0.0280887	0.0195815	0.0549652	0.0189319	0.069232	0.00937362	0.00483728	3.47731
50	-16633.3	-16612.9	-20.3784	0.107739	0.115969	0.12772	0.130336	0.0972778	0.0896277	0.0810779	0.10832	0.0909568	0.127548	0.130664	0.108682	0.0662625	0.124468	0.1324	0.174709	0.131495	0.086041	0.138318	0.162568	0.0656577	0.252316	0.0938428	0.0482165	0.0251598	0.0449458	0.0875352	0.00765929	0.0364345	0.052084	0.00714023	0.00863551	0.0285762	0.0103011	0.0853131	0.0236074	0.0355541	0.0258985	0.0583319	0.017013	0.0863296	0.00667204	0.0166919	3.45609
60	-16453.9	-16434.2	-19.6627	0.101643	0.0901737	0.097093	0.152645	0.0949305	0.107435	0.0895292	0.0829598	0.0730755	0.148338	0.149175	0.0910662	0.06955	0.128413	0.117002	0.167171	0.130292	0.0971049	0.135503	0.161134	0.0809665	0.202659	0.111875	0.055782	0.0414558	0.0300919	0.0499655	0.00862679	0.0241065	0.0445992	0.0099771	0.00992407	0.0256838	0.00571743	0.100762	0.0144742	0.0108463	0.0212689	0.0478302	0.0301722	0.0548923	0.0861543	0.032455	3.38452
70	-16370.2	-16350.5	-19.6441	0.105177	0.0945642	0.11688	0.132344	0.0893058	0.0887307	0.0755996	0.100721	0.0865116	0.124738	0.1425	0.105322	0.0681492	0.124974	0.136356	0.193614	0.141302	0.0844277	0.120983	0.159519	0.069799	0.271934	0.0938728	0.0594871	0.0366321	0.0358848	0.0228359	0.0150147	0.0207483	0.0371232	0.0104364	0.0151413	0.0151485	0.00818794	0.0898475	0.0140177	0.00729639	0.00322487	0.0367263	0.0270302	0.0513566	0.0912824	0.0579099	3.38266
80	-16310.2	-16292.1	-18.1299	0.114509	0.0594514	0.10923	0.1411	0.0914178	0.086962	0.0647208	0.0952991	0.0798122	0.125495	0.1425	0.0963466	0.0662704	0.138528	0.128741	0.144953	0.131973	0.0900616	0.133432	0.155187	0.0621368	0.223086	0.0967063	0.0391088	0.0326941	0.0355603	0.0292926	0.011362	0.0316968	0.0255445	0.0275751	0.0109558	0.0312218	0.0128187	0.0807577	0.0118673	0.0284887	0.0156637	0.031131	0.0153997	0.0506389	0.0863716	0.0451711	3.23124
90	-16277.6	-16258.9	-18.6833	0.0941134	0.0723941	0.10603	0.111367	0.0914178	0.106151	0.0709532	0.100842	0.0821872	0.134021	0.132342	0.0875579	0.0561202	0.0986157	0.133356	0.163436	0.164938	0.103628	0.129072	0.155187	0.0879424	0.217801	0.114206	0.031875	0.0580204	0.0371108	0.0473917	0.0210514	0.0309075	0.0161304	0.0259853	0.0141903	0.0223568	0.0297964	0.055207	0.00557161	0.0466328	0.0315261	0.0268941	0.0149822	0.0412457	0.0614095	0.0546158	3.28658
100	-16236.5	-16218.3	-18.2677	0.110822	0.0897639	0.110581	0.120599	0.0857453	0.106846	0.0766123	0.0931396	0.0753436	0.117997	0.13067	0.123258	0.0617399	0.108545	0.134514	0.114115	0.143044	0.0820682	0.135317	0.128027	0.0912533	0.20739	0.0883157	0.0533853	0.0428905	0.0182941	0.0473917	0.0158863	0.0409984	0.028096	0.0350828	0.0249119	0.020283	0.0668156	0.0638288	0.0151502	0.043092	0.0117307	0.0375049	0.0239478	0.0243172	0.0583294	0.0373853	3.24503
110	-15948.4	-15931.8	-16.6344	0.0964655	0.0708769	0.0951242	0.120599	0.0908128	0.0953277	0.060029	0.0878175	0.0856585	0.104338	0.16847	0.0816152	0.0599638	0.12014	0.125261	0.134518	0.162741	0.0837675	0.150039	0.139858	0.104271	0.104955	0.0898566	0.040651	0.0254093	0.0262294	0.0187437	0.0246137	0.0260058	0.0254915	0.0194559	0.0214874	0.0274295	0.0855233	0.078819	0.0206654	0.0245926	0.0169889	0.018644	0.014548	0.0301309	0.057818	0.0459374	3.08169
120	-15927.9	-15911.1	-16.8142	0.0925489	0.0829418	0.115725	0.104536	0.0925329	0.0877714	0.0756986	0.0835177	0.0819906	0.0941296	0.137313	0.0911555	0.0537676	0.131271	0.115547	0.136968	0.144641	0.086815	0.128729	0.174205	0.0694871	0.092958	0.0950469	0.0417397	0.0235486	0.0384285	0.0360875	0.0386991	0.0256424	0.0226297	0.0207824	0.0174754	0.0482286	0.0601359	0.0796139	0.029089	0.0598663	0.0120341	0.0232283	0.0274478	0.0265464	0.0585417	0.0406121	3.09967
130	-15922	-15905.7	-16.273	0.103997	0.0874445	0.114654	0.105926	0.0859005	0.10053	0.0756986	0.0946672	0.0755669	0.0953193	0.118607	0.0860981	0.0574114	0.0941422	0.120117	0.130345	0.133417	0.0822701	0.140168	0.181529	0.0655298	0.113872	0.114159	0.0412834	0.0251515	0.0268549	0.0360875	0.0327212	0.0221611	0.0362587	0.00510464	0.00878943	0.0642649	0.06704	0.0719427	0.0247157	0.0296552	0.017119	0.0167746	0.0225494	0.0213469	0.0501875	0.0481738	3.04555
140	-15912.9	-15895.6	-17.2347	0.101761	0.0692645	0.114654	0.117252	0.0890281	0.0863247	0.0838418	0.0810893	0.0868504	0.0777889	0.14366	0.131169	0.0520472	0.101904	0.117025	0.122423	0.143776	0.0911425	0.146411	0.153221	0.081395	0.102829	0.127061	0.0363028	0.0546789	0.0388111	0.0277063	0.0370696	0.0203247	0.0170257	0.0102961	0.00638757	0.0608735	0.0744375	0.0624703	0.0273459	0.0488866	0.0238573	0.0336735	0.032388	0.0243053	0.05204	0.0309207	3.14172
150	-15909.8	-15894	-15.8495	0.107119	0.0692645	0.102947	0.112261	0.0804247	0.0929545	0.0662012	0.0589722	0.0689086	0.106138	0.132696	0.0968077	0.0630937	0.110158	0.117025	0.135417	0.128262	0.0986277	0.150043	0.132564	0.0896966	0.0900688	0.0909393	0.0381373	0.0521223	0.0394217	0.0180493	0.0461892	0.0232109	0.0408727	0.00462545	0.00714542	0.0546909	0.0663715	0.0754378	0.0239642	0.0259573	0.0339162	0.0286793	0.0299108	0.0077658	0.0534029	0.032744	3.0032
160	-15889	-15871.5	-17.4661	0.0964159	0.0932914	0.113098	0.120667	0.0840667	0.104201	0.076696	0.105484	0.0851815	0.103973	0.139986	0.0968077	0.0439006	0.113312	0.132068	0.118864	0.145941	0.0995872	0.110774	0.163221	0.0785632	0.111118	0.0976168	0.046938	0.0453518	0.0281337	0.0271738	0.0509586	0.0260937	0.0480576	0.00713103	0.00590665	0.0586208	0.0702466	0.0826888	0.0287799	0.0359862	0.0221184	0.0339295	0.0216921	0.00979973	0.0469427	0.0334792	3.16486
170	-15838.3	-15821.2	-17.0849	0.104436	0.0777867	0.12422	0.110274	0.0741717	0.117059	0.0836652	0.0733574	0.0677575	0.102677	0.162136	0.107235	0.0754184	0.102461	0.107033	0.141147	0.146178	0.0753476	0.126712	0.171047	0.0763347	0.092338	0.102104	0.0407677	0.0516153	0.0307887	0.0306575	0.0340439	0.0289336	0.0233757	0.02453	0.0114339	0.0395413	0.0800556	0.0592242	0.0231001	0.0246012	0.0191718	0.0367689	0.0154586	0.0223137	0.0643306	0.0451321	3.12674
180	-15794.7	-15778.5	-16.1813	0.0643338	0.0643898	0.102659	0.120468	0.105748	0.122703	0.0645245	0.0909785	0.0846364	0.0802767	0.109016	0.102463	0.0672621	0.117142	0.116315	0.126488	0.140789	0.0921308	0.129886	0.154305	0.0965781	0.0742854	0.100144	0.0422954	0.0443752	0.019161	0.0198979	0.0415638	0.0149854	0.0255274	0.0479581	0.0230271	0.0258006	0.0838966	0.0629438	0.0166433	0.0277537	0.0235331	0.0285453	0.0346119	0.0325084	0.063784	0.0300473	3.03638
190	-15787.8	-15772.3	-15.5461	0.0777773	0.0829779	0.0845709	0.126976	0.101687	0.090562	0.0808321	0.0891577	0.0853791	0.0714828	0.15587	0.086685	0.0631364	0.0998753	0.126556	0.121223	0.132947	0.0911807	0.11881	0.173388	0.0722074	0.0742175	0.0964061	0.0355191	0.0477962	0.0351189	0.0167854	0.0126762	0.0142803	0.03513	0.0495587	0.0332067	0.0297666	0.0672636	0.0600296	0.0109413	0.0204923	0.0178474	0.0303493	0.0217268	0.0372959	0.0605888	0.0325843	2.97286
