Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23174.6	-23149.4	-25.1932	3.05398	0.0242177	0.00780154	0.00212954	0.036659	0.13575	0.0208684	0.361277	0.0254172	0.0200304	0.0123428	0.0493118	0.0493707	0.0260015	0.0409202	0.145099	0.0605339	0.13646	0.143942	0.567049	0.054281	0.133151	0.032325	0.0802841	0.00943098	0.0479838	0.128387	0.00316543	0.140134	0.0106755	0.0559842	0.0110725	0.239381	0.303638	0.111435	0.0985709	0.300536	0.0303201	0.0750203	0.146793	0.13887	0.174768	0.0470039	0.096312	0.304241	0.122316	0.139509	0.15864	0.0262127	0.249082	0.393396	0.734474	1.08277	1.78936	0.108873	0.368807	0.406216	0.116104	4.3347
10	-16053.2	-16032.9	-20.2297	1.44906	0.0531366	0.0201092	0.00667697	0.174741	0.129205	0.191855	0.134431	0.150722	0.0671531	0.0570277	0.139691	0.138549	0.0381905	0.138503	0.299414	0.11664	0.141156	0.123483	0.168607	0.126323	0.197077	0.11634	0.187254	0.00838715	0.0171629	0.0243628	0.00220981	0.0723499	0.012678	0.0322274	0.0133228	0.055164	0.14489	0.0659492	0.0438184	0.0420906	0.0351249	0.0200828	0.074868	0.0301274	0.136535	0.0545156	0.0522475	0.265437	0.357956	0.0642181	0.0262471	0.171485	0.114657	0.217345	0.579852	1.04728	2.15552	0.246611	0.23548	0.110145	0.407764	3.8544
20	-14676.4	-14658.8	-17.6362	0.287655	0.226602	0.127264	0.0261926	0.11187	0.107865	0.198862	0.119913	0.193073	0.10265	0.0855833	0.114469	0.121496	0.0872508	0.192924	0.169712	0.154969	0.127585	0.121753	0.106937	0.184377	0.173278	0.132574	0.159465	0.011531	0.00861319	0.0124564	0.00286064	0.0147498	0.00916708	0.0172901	0.00517477	0.0130278	0.0667104	0.0126269	0.0314328	0.0665218	0.0112649	0.00802952	0.0208013	0.0142519	0.062145	0.0354634	0.0358799	0.165455	0.479236	0.0605864	0.0247627	0.161787	0.108173	0.00434743	0.0949324	0.574476	3.32624	0.191917	0.405039	0.0857161	0.317328	3.60666
30	-14380.7	-14352.2	-28.4765	0.318807	0.303931	0.0917137	0.0624784	0.121802	0.0976947	0.412631	0.144484	0.203114	0.10902	0.106834	0.12332	0.132711	0.0785971	0.258169	0.247828	0.132075	0.170392	0.161814	0.120019	0.207512	0.311358	0.16635	0.290603	0.00424124	0.00311809	0.00670719	0.00307411	0.00352279	0.00291136	0.0427808	0.00717355	0.0307662	0.052642	0.0114427	0.0322543	0.120684	0.0107327	0.00783177	0.0391451	0.00642605	0.201667	0.0326727	0.0161334	0.0724189	0.455884	0.0576341	0.0162266	0.318659	0.0791777	0.00694435	0.119182	0.626076	3.2478	0.30061	0.350558	0.0741866	0.274645	4.69038
40	-14037.6	-14004.1	-33.4959	0.304984	0.197078	0.107296	0.0454645	0.160544	0.106175	0.377075	0.196242	0.2052	0.130101	0.158742	0.192144	0.22111	0.0875361	0.338977	0.247828	0.205653	0.202584	0.176979	0.169167	0.247156	0.294237	0.183672	0.213401	0.00284842	0.0138104	0.00488257	0.010125	0.00522933	0.00166903	0.0216006	0.013835	0.0163005	0.0389758	0.0157326	0.0132232	0.214317	0.00754313	0.00515696	0.0581486	0.00774856	0.248979	0.0047441	0.0232349	0.0810466	0.39106	0.0645004	0.0181597	0.356623	0.0886106	0.00570827	0.108377	0.604078	3.28184	0.287944	0.377923	0.0710606	0.263072	5.19246
50	-13925.3	-13880.5	-44.7706	0.314645	0.216149	0.174523	0.0754125	0.220489	0.116923	0.612897	0.242285	0.276713	0.184838	0.209322	0.226949	0.179774	0.0842411	0.161771	0.270302	0.266864	0.20732	0.206354	0.268083	0.311706	0.125143	0.183672	0.370248	0.012565	0.0103559	0.0127265	0.0137452	0.00310668	0.00252075	0.00560158	0.00759969	0.197337	0.0505847	0.0125555	0.00264795	0.347322	0.0052209	0.0200573	0.095076	0.0107273	0.198692	0.0180722	0.101346	0.0709873	0.413928	0.0514443	0.0159058	0.370122	0.0776125	0.00655822	0.115925	0.619596	3.25792	0.292362	0.383723	0.0721511	0.251764	6.31984
60	-13881.5	-13828.3	-53.1377	0.286906	0.220282	0.191456	0.046007	0.260574	0.142835	0.652624	0.344463	0.321161	0.147515	0.223259	0.160893	0.196242	0.132174	0.232337	0.347994	0.292689	0.304338	0.302607	0.206391	0.360772	0.117126	0.174578	0.310808	0.0233375	0.0161362	0.0381471	0.0139479	0.0019989	0.00389225	0.00843108	0.0156751	0.336067	0.0081767	0.0432794	0.00193339	0.456474	0.00248345	0.0141066	0.130675	0.0111697	0.252619	0.00902089	0.0801277	0.0594204	0.350349	0.0430618	0.013314	0.468889	0.0649661	0.00429339	0.0943557	0.573143	3.32821	0.299368	0.394692	0.0742135	0.231727	7.15682
70	-13804.3	-13745.2	-59.0695	0.286906	0.21269	0.23144	0.0562956	0.341751	0.119734	0.731483	0.350086	0.323268	0.232612	0.223259	0.273736	0.262283	0.139467	0.218812	0.314817	0.362226	0.284184	0.225922	0.21635	0.516035	0.191316	0.278022	0.351886	0.0669565	0.0495233	0.0319348	0.0314252	0.00669421	0.0254819	0.00346611	0.0731059	0.144403	0.0287734	0.0468783	0.0118098	0.357114	0.00502694	0.00573232	0.0494099	0.0170885	0.260675	0.0135195	0.0633102	0.0591432	0.327803	0.0430479	0.0133097	0.491751	0.0649451	0.00429339	0.0943557	0.573143	3.32821	0.333323	0.375563	0.0706168	0.220497	7.75
80	-13740.2	-13673.7	-66.4926	0.279386	0.274815	0.233333	0.095675	0.337401	0.114695	0.938183	0.341849	0.322479	0.255012	0.213545	0.282017	0.245823	0.113365	0.265313	0.320398	0.366909	0.258812	0.310576	0.244205	0.431761	0.178525	0.218464	0.411813	0.316586	0.113242	0.0127122	0.0133553	0.0252784	0.0629417	0.00591091	0.0313957	0.0832857	0.0245766	0.044839	0.0196134	0.514041	0.00684196	0.00629619	0.0747395	0.0891886	0.211535	0.0160867	0.0449549	0.0579794	0.347654	0.0508247	0.0130479	0.482075	0.0484195	0.00377247	0.0885883	0.559504	3.34813	0.333323	0.375563	0.0706168	0.220497	8.49239
90	-13719.2	-13659.7	-59.5701	0.311143	0.280418	0.253612	0.0730498	0.265055	0.121364	0.803855	0.284666	0.329044	0.209437	0.261346	0.196598	0.239916	0.108683	0.240266	0.229296	0.35561	0.300778	0.178084	0.272684	0.396191	0.112618	0.178091	0.385541	0.265574	0.155591	0.0107175	0.0136712	0.0462587	0.0695155	0.000973922	0.0156162	0.110726	0.0133499	0.0291256	0.0228432	0.564729	0.011199	0.00200388	0.0895994	0.0576975	0.171967	0.00548015	0.0669758	0.0559205	0.348414	0.0509357	0.0130764	0.483128	0.0485254	0.00624262	0.113186	0.614049	3.26652	0.342799	0.357812	0.0726244	0.226765	7.79982
