Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20297.8	-20281.4	-16.3911	10.3315	0.0626686	0.0440512	0.00209326	0.199066	0.00767403	0.0390897	0.0450117	0.0155557	0.0848871	0.143307	0.0568806	0.100853	0.0434601	0.111008	0.0509256	0.16518	0.0142589	0.0478847	0.313384	0.0027175	0.00282806	0.0172087	0.176429	0.161407	0.276635	0.0611602	0.0267445	0.0822687	0.0839989	0.0679258	0.0658645	0.0910636	0.0262959	0.090228	0.00789553	0.0302935	0.0370619	0.201432	0.0491814	0.0575361	0.0493104	0.127574	0.0414202	0.0326339	0.105644	0.192169	0.135585	0.123583	0.410385	0.636828	0.87336	1.07167	1.41814	0.464776	0.34805	0.0904406	0.0967335	3.38172
10	-15750.5	-15732.7	-17.8291	1.83131	0.132579	0.0924748	0.00584308	0.338268	0.0179168	0.151393	0.0979798	0.106502	0.240079	0.143307	0.129741	0.126284	0.0983658	0.102564	0.0981532	0.165528	0.0478155	0.039236	0.143569	0.0260469	0.0306744	0.0464703	0.10254	0.0705895	0.204934	0.0444449	0.0378143	0.0532102	0.0654938	0.0965261	0.0181849	0.0281	0.0378371	0.103495	0.0174089	0.0170894	0.0129023	0.0807327	0.0502271	0.0473709	0.0712014	0.0115422	0.0580814	0.23602	0.235228	0.0947131	0.0327026	0.386383	0.0149536	0.272272	0.635787	1.06513	2.02681	0.226218	0.247998	0.258722	0.267062	3.61051
20	-14524.6	-14502.9	-21.6652	0.343103	0.0575213	0.11173	0.0599643	0.418869	0.0353103	0.137481	0.105744	0.0970336	0.345287	0.145282	0.145974	0.168637	0.188058	0.153629	0.0861044	0.225804	0.134515	0.0867019	0.105421	0.0325974	0.0465948	0.0696935	0.0746442	0.0460002	0.168143	0.0811439	0.00603966	0.0215288	0.0136036	0.0670766	0.0115998	0.0166501	0.0398497	0.162674	0.00664358	0.0213038	0.0232522	0.0351223	0.0179432	0.0644643	0.0697873	0.00515656	0.0984323	0.191112	0.223521	0.0691385	0.0264802	0.47764	0.0121083	0.00943292	0.138184	0.661573	3.19081	0.260836	0.272871	0.172445	0.293848	4.00901
30	-14272.4	-14248.3	-24.0508	0.309557	0.118786	0.119322	0.142084	0.296174	0.123863	0.234614	0.111042	0.159923	0.29551	0.159406	0.155418	0.158645	0.178495	0.150616	0.100397	0.210957	0.14557	0.102113	0.0829955	0.0763526	0.0874881	0.197154	0.0592932	0.0597131	0.0910273	0.0536856	0.0136856	0.0131958	0.0212838	0.0345341	0.0044541	0.0234652	0.0109954	0.15546	0.0192658	0.0140839	0.0287188	0.0288322	0.0119794	0.0331404	0.0573854	0.00764915	0.0991303	0.120212	0.206821	0.063973	0.0245018	0.573289	0.0112037	0.00610254	0.111948	0.611509	3.27044	0.299622	0.281941	0.178177	0.24026	4.24791
40	-14159.2	-14131.6	-27.6639	0.349498	0.0671421	0.123062	0.151645	0.31586	0.161511	0.210254	0.122028	0.143102	0.378748	0.177357	0.179272	0.134174	0.314846	0.143889	0.0982967	0.242915	0.160586	0.133435	0.0948993	0.163999	0.150786	0.122997	0.0603364	0.0362146	0.0483554	0.0486524	0.0412967	0.0130316	0.0187911	0.0602431	0.0064181	0.0251213	0.00746062	0.157599	0.00758697	0.0126518	0.0279827	0.0330105	0.0115526	0.0134484	0.0653301	0.0130039	0.109923	0.149935	0.200537	0.0620291	0.0237573	0.552878	0.0108632	0.0101529	0.143165	0.670295	3.17639	0.299622	0.281941	0.178177	0.24026	4.60882
50	-14097.8	-14058.6	-39.2301	0.338883	0.11221	0.157576	0.226139	0.365174	0.177776	0.269297	0.126547	0.167632	0.469185	0.234542	0.18472	0.159064	0.369994	0.140316	0.0839472	0.282512	0.105059	0.136844	0.138177	0.23462	0.282747	0.188542	0.0738762	0.0389453	0.0721632	0.014143	0.177733	0.020897	0.047388	0.0425868	0.00149995	0.057308	0.0136678	0.298948	0.00756662	0.00351092	0.0204705	0.028923	0.00791615	0.00956277	0.076123	0.0227693	0.11692	0.127956	0.17114	0.0529362	0.0202747	0.618422	0.00927079	0.00897238	0.13489	0.65568	3.20046	0.299622	0.281941	0.178177	0.24026	5.76554
60	-14026	-13980.9	-45.1218	0.319059	0.093772	0.147835	0.220285	0.302568	0.18338	0.326682	0.207495	0.185004	0.554916	0.20458	0.22155	0.233484	0.38045	0.198966	0.130521	0.397448	0.102124	0.162105	0.131232	0.288824	0.348912	0.183073	0.0793215	0.0595743	0.0720536	0.0364596	0.0751531	0.0394653	0.0424313	0.0278801	0.00238945	0.0522601	0.020461	0.273523	0.0161853	0.00452274	0.012608	0.0511585	0.00291678	0.0265738	0.117304	0.017761	0.119707	0.102081	0.136532	0.0588291	0.0161747	0.678988	0.00739604	0.00696809	0.119379	0.626464	3.24719	0.288679	0.308167	0.171669	0.231485	6.35491
70	-13940	-13892.7	-47.2463	0.321082	0.123316	0.194213	0.250542	0.205186	0.170449	0.2764	0.166843	0.230087	0.524867	0.28338	0.184009	0.265974	0.399572	0.138754	0.135971	0.412505	0.165538	0.184837	0.172702	0.181757	0.384277	0.229976	0.0951785	0.0548691	0.0979739	0.116091	0.0693201	0.0611973	0.0315518	0.0453452	0.0352824	0.0327839	0.0147262	0.296536	0.00569353	0.00221197	0.041729	0.0237048	0.00477237	0.0413332	0.106081	0.0272732	0.0825281	0.0920161	0.123071	0.0540989	0.0117984	0.712349	0.00666683	0.00716041	0.120963	0.629565	3.24231	0.315145	0.302289	0.162902	0.219663	6.56734
80	-13868.5	-13806.7	-61.7562	0.283568	0.144846	0.205195	0.313996	0.262601	0.182857	0.405858	0.267821	0.338634	0.502971	0.312742	0.19298	0.195983	0.594968	0.150507	0.12206	0.327979	0.164047	0.28544	0.147664	0.339678	0.563821	0.311336	0.0821361	0.072196	0.08415	0.329345	0.064483	0.0383613	0.0818189	0.0645995	0.068847	0.0620191	0.0152777	0.347768	0.00571259	0.000712631	0.0361617	0.0143543	0.0052193	0.0228106	0.100911	0.0631296	0.124705	0.0822125	0.109958	0.048335	0.0105413	0.742996	0.00595653	0.00405726	0.0917896	0.567147	3.33701	0.307926	0.324095	0.159171	0.208809	8.01871
90	-13832.3	-13769.7	-62.5104	0.300333	0.149195	0.278259	0.264874	0.264417	0.256975	0.405858	0.247265	0.409306	0.417431	0.313419	0.206886	0.165821	0.479375	0.159516	0.157189	0.362038	0.156612	0.238638	0.162767	0.290733	0.508756	0.237688	0.149946	0.102675	0.0481469	0.377645	0.100774	0.120617	0.0265189	0.141769	0.15661	0.101363	0.0214712	0.218083	0.0104718	0.000748198	0.0872491	0.00549148	0.00767599	0.0221098	0.133943	0.0468538	0.080769	0.0783743	0.133973	0.0460785	0.0100492	0.708308	0.0232165	0.00532237	0.104754	0.596362	3.29356	0.307926	0.324095	0.159171	0.208809	8.09395
