Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-28597.7	-28567.4	-30.3796	7.87755	0.0465959	0.0361175	0.0694331	0.0150429	0.161579	0.00857449	0.153374	0.151092	0.00726399	0.0377636	0.0514436	0.0179628	0.0399134	0.057954	0.0231797	0.0105515	0.124581	0.555461	0.141602	0.0103005	0.302677	0.224967	0.138209	0.185528	0.18833	0.186422	0.398307	0.0646308	0.213549	0.039679	0.0344318	0.0858714	0.0378138	0.0804448	0.0302848	0.109424	0.127216	0.0317378	0.0177992	0.195839	0.154582	0.233598	0.00397782	0.354799	0.0367646	0.00782736	0.414325	0.0106174	0.175666	0.590285	0.85114	1.07692	1.48165	0.647247	0.0521183	0.188775	0.111859	4.8051
10	-16239.7	-16219.3	-20.3653	2.74438	0.11488	0.0831673	0.0777792	0.0634601	0.231176	0.0294357	0.116866	0.130472	0.0160011	0.140004	0.228166	0.0673215	0.0907491	0.12962	0.0995439	0.0263421	0.175208	0.156359	0.23898	0.0653516	0.216618	0.110784	0.194486	0.0808328	0.0334294	0.0560723	0.0662164	0.0346465	0.0699513	0.0333674	0.0309639	0.0304306	0.0693379	0.0430271	0.0124187	0.0324984	0.0613084	0.0518272	0.0431942	0.087631	0.0767816	0.133185	0.00512047	0.216759	0.486206	0.0699867	0.0354833	0.160282	0.0312828	0.368466	0.716315	1.08093	1.83429	0.183536	0.328783	0.096237	0.391445	3.85501
20	-14671.6	-14641.6	-29.9899	0.376801	0.108795	0.169008	0.117373	0.145797	0.244259	0.103586	0.0770336	0.256251	0.024222	0.341311	0.409191	0.132252	0.109524	0.0483199	0.227225	0.0600804	0.138556	0.21076	0.30473	0.155874	0.262683	0.207492	0.244188	0.0145454	0.0209842	0.0792283	0.0317958	0.0096613	0.0777727	0.0145103	0.0338931	0.0849525	0.0629751	0.0183112	0.0143388	0.0118011	0.049352	0.0382497	0.0225166	0.0349776	0.032979	0.0831785	0.00660514	0.166828	0.411471	0.0612991	0.0310787	0.301924	0.0273996	0.0135148	0.164225	0.704904	3.11736	0.310991	0.313973	0.077022	0.298013	4.84114
30	-14356.3	-14326.3	-30.0367	0.374782	0.148353	0.204539	0.10759	0.0938544	0.21209	0.0940883	0.152098	0.26627	0.0968564	0.239474	0.340262	0.171014	0.105055	0.0678333	0.118012	0.177862	0.139355	0.17289	0.265811	0.193275	0.306261	0.227443	0.222616	0.0167881	0.0599329	0.0969489	0.0241865	0.00521749	0.0484522	0.00630649	0.012861	0.0364253	0.162986	0.0220008	0.0303384	0.0020338	0.0447562	0.0336987	0.0118395	0.00666152	0.032979	0.013152	0.0553767	0.167088	0.412113	0.0551002	0.0311272	0.307129	0.0274423	0.0132507	0.162682	0.702483	3.12158	0.273534	0.331042	0.0812092	0.314214	4.84584
40	-14221.9	-14188.8	-33.0943	0.375996	0.141197	0.227344	0.161863	0.173643	0.208421	0.162115	0.139595	0.259336	0.125205	0.279529	0.213076	0.129417	0.147904	0.0682441	0.113827	0.211198	0.13087	0.152901	0.293273	0.223468	0.317174	0.208302	0.233722	0.0104757	0.126149	0.0421987	0.110066	0.00696812	0.0229674	0.0414351	0.015292	0.0623313	0.150939	0.0409636	0.0269786	0.00847085	0.0431229	0.0358882	0.0131947	0.0117479	0.00986143	0.0160983	0.0348122	0.140486	0.346502	0.0463279	0.0261715	0.421836	0.0186762	0.0134093	0.16361	0.703942	3.11904	0.27736	0.335673	0.0823451	0.304622	5.15159
50	-14103	-14067.4	-35.5927	0.347306	0.166178	0.227344	0.111577	0.114965	0.269087	0.129283	0.178882	0.32282	0.10845	0.316294	0.122648	0.153242	0.137896	0.0447475	0.162929	0.194818	0.129421	0.126368	0.387526	0.218211	0.278011	0.177842	0.25605	0.00852131	0.131506	0.122532	0.0752862	0.0128318	0.00666341	0.0706266	0.0289869	0.0744585	0.26339	0.037539	0.0530993	0.0104779	0.03511	0.0417199	0.0190631	0.00630574	0.016262	0.0147658	0.0379798	0.123669	0.343567	0.0459355	0.0424066	0.425905	0.018518	0.00990317	0.141459	0.667334	3.1813	0.306074	0.322335	0.0790732	0.292518	5.40172
60	-13928.6	-13889	-39.6681	0.329286	0.139543	0.272256	0.149564	0.158408	0.367056	0.131766	0.177253	0.343737	0.136662	0.302686	0.150847	0.134673	0.137161	0.0424961	0.153099	0.207143	0.163144	0.215837	0.374373	0.220567	0.351339	0.193451	0.329641	0.00828156	0.0678931	0.130072	0.0606846	0.00362816	0.0551953	0.0480901	0.0555033	0.0251296	0.210297	0.00499514	0.0181568	0.0208332	0.0265452	0.0399636	0.0450234	0.00339115	0.0175541	0.0745093	0.0409906	0.102309	0.348564	0.0473463	0.043709	0.438985	0.0190868	0.00796907	0.127386	0.641861	3.22278	0.309957	0.339485	0.0800765	0.270482	5.80944
70	-13784.3	-13747.1	-37.1793	0.329286	0.109409	0.222812	0.139193	0.0977148	0.275954	0.118363	0.207697	0.340922	0.115325	0.222127	0.178219	0.164595	0.139676	0.0677073	0.16522	0.209407	0.101712	0.137374	0.439858	0.149767	0.246036	0.234075	0.371954	0.00725303	0.0437399	0.0911046	0.0582705	0.00304772	0.260036	0.0411025	0.0780665	0.0124709	0.101539	0.00499514	0.0424395	0.0962941	0.0609589	0.0494527	0.0204476	0.00869555	0.0274311	0.0276833	0.0704082	0.0907387	0.309146	0.041992	0.038766	0.502429	0.0169283	0.00796907	0.127386	0.641861	3.22278	0.309957	0.339485	0.0800765	0.270482	5.56055
80	-13738.4	-13698.3	-40.1784	0.319499	0.116283	0.349684	0.134333	0.1079	0.194139	0.115075	0.138823	0.420692	0.0957254	0.175012	0.180021	0.149745	0.180482	0.0811997	0.143353	0.274951	0.1367	0.170341	0.382301	0.164888	0.252646	0.32849	0.372294	0.00327722	0.0397113	0.136136	0.0161725	0.00295985	0.233925	0.0572473	0.117215	0.0139349	0.0388621	0.00901817	0.0571015	0.182699	0.125585	0.060927	0.0402332	0.00491588	0.0111123	0.0072314	0.037221	0.0898839	0.315654	0.0415964	0.0384009	0.497696	0.0167688	0.00700972	0.119724	0.627141	3.24612	0.309957	0.339485	0.0800765	0.270482	5.86057
90	-13665.5	-13627.5	-37.9899	0.326942	0.0961752	0.225656	0.147697	0.139558	0.323219	0.0815271	0.203865	0.597389	0.0781563	0.157865	0.119768	0.175291	0.17456	0.073028	0.174131	0.260521	0.111573	0.176431	0.222647	0.179931	0.134593	0.306982	0.370931	0.00115785	0.226057	0.151827	0.0137675	0.00535	0.122739	0.0400756	0.106189	0.0117666	0.0436043	0.0240206	0.0560337	0.0614101	0.0633628	0.0508876	0.0624771	0.00665992	0.0167966	0.0145486	0.0314186	0.0820738	0.290709	0.0462715	0.00865903	0.553633	0.0186535	0.00773337	0.125551	0.638394	3.22832	0.335093	0.367015	0.0865702	0.211322	5.64164
