Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-18134.8	-18121.4	-13.3411	0.0461371	0.0190225	0.0260518	0.120966	0.0176122	0.0166599	0.147301	0.0346659	0.00213097	0.0897105	0.0499327	0.0859633	0.048449	0.0792811	0.0566196	0.112972	0.171075	0.100877	0.355809	0.0723923	0.14617	0.0284224	0.0432749	0.0508815	0.273615	0.0247026	0.160263	0.00307174	0.110652	0.0832103	0.0695458	0.00247508	0.0173173	0.114997	0.122598	0.0613871	0.00365142	0.0660438	0.00925728	0.251876	0.00532057	0.286369	0.000135367	0.0516804	0.0159156	0.436669	0.322876	0.0248851	0.161792	0.0378613	4.97148e-14	3.32811e-07	0.00327478	3.99672	0.137229	0.484845	0.180286	0.197639	3.59441
10	-14992	-14966.1	-25.956	0.249619	0.183628	0.0458784	0.130712	0.119606	0.032516	0.418525	0.0917672	0.0110791	0.153429	0.0708217	0.311078	0.161655	0.197535	0.0602905	0.0838831	0.23534	0.223822	0.244651	0.193276	0.145584	0.101003	0.102079	0.121288	0.0969274	0.0187874	0.0794613	0.00297117	0.0406038	0.0255286	0.143564	0.00469502	0.024792	0.0788421	0.0535418	0.0195179	0.0128303	0.217211	0.0579285	0.113954	0.00452685	0.186622	0.000480628	0.0301848	0.0738742	0.265655	0.268323	0.0224704	0.33549	0.0341874	0.00209407	0.0664152	0.500682	3.43081	0.241756	0.411761	0.111735	0.234747	4.65242
20	-14422.8	-14387	-35.8759	0.280277	0.22319	0.138377	0.139311	0.169473	0.226078	0.419284	0.107288	0.09282	0.179192	0.113952	0.449244	0.161472	0.157429	0.0591072	0.123574	0.12478	0.326115	0.272231	0.321333	0.163829	0.235236	0.244555	0.169955	0.0500047	0.0188707	0.0162062	0.00927557	0.0160478	0.0417252	0.250488	0.00353286	0.0242946	0.0627556	0.0600023	0.0324008	0.00160266	0.107071	0.04978	0.105528	0.00323103	0.137905	0.000977363	0.00422374	0.0783817	0.281864	0.119718	0.0238414	0.459921	0.0362734	0.00383212	0.089269	0.561145	3.34575	0.241756	0.411761	0.111735	0.234747	5.61375
30	-14088.8	-14039.6	-49.2697	0.26643	0.22319	0.161348	0.123819	0.210367	0.407221	0.342866	0.0834427	0.308502	0.245376	0.170164	0.507347	0.180695	0.254486	0.034647	0.110007	0.176718	0.165151	0.408454	0.407299	0.187296	0.431475	0.36304	0.314866	0.0112847	0.0102109	0.0306528	0.00835122	0.0198279	0.19239	0.183214	0.00797991	0.0131819	0.0231055	0.186378	0.0155797	0.00129883	0.15682	0.0884893	0.0682074	0.00732682	0.117414	0.00221512	0.00527495	0.0555358	0.218872	0.0848239	0.0168924	0.598175	0.0257008	0.00296749	0.0787858	0.534877	3.38337	0.31879	0.364949	0.0990326	0.217228	6.96698
40	-13979.4	-13926.3	-53.1138	0.293513	0.247657	0.237892	0.250453	0.175945	0.456786	0.266677	0.145966	0.347627	0.297065	0.170111	0.354307	0.165386	0.292823	0.0795748	0.116882	0.16401	0.189963	0.321704	0.5236	0.176954	0.382272	0.38512	0.421879	0.00575982	0.00575528	0.0097884	0.0137057	0.0111338	0.140619	0.112545	0.00712881	0.0101829	0.0288691	0.321961	0.0366993	0.00160716	0.173623	0.0625516	0.0333729	0.00978966	0.148023	0.0129157	0.00761731	0.0555358	0.218872	0.0848239	0.0168924	0.598175	0.0257008	0.00478389	0.0994592	0.584746	3.31101	0.31879	0.364949	0.0990326	0.217228	7.3243
50	-13746.5	-13690.4	-56.1371	0.284369	0.343263	0.234814	0.215866	0.242699	0.456786	0.327674	0.137949	0.336546	0.356528	0.222376	0.354307	0.185462	0.316011	0.0790806	0.118935	0.162888	0.171548	0.202755	0.415706	0.186083	0.411124	0.397857	0.344507	0.010382	0.0158677	0.0038568	0.087982	0.0109547	0.165462	0.0292252	0.016328	0.0309153	0.0822191	0.495797	0.0527379	0.00198722	0.106127	0.051168	0.0115929	0.00760861	0.183463	0.0329314	0.018406	0.0514202	0.202652	0.0785378	0.0156405	0.627953	0.0237962	0.00411318	0.0924042	0.568593	3.33489	0.31879	0.364949	0.0990326	0.217228	7.63577
60	-13577.6	-13526.6	-50.9514	0.299798	0.323196	0.259161	0.237991	0.209059	0.37972	0.261534	0.115674	0.300248	0.225813	0.169453	0.278301	0.224512	0.344324	0.0711916	0.115408	0.210809	0.208435	0.180771	0.419504	0.14879	0.359312	0.327603	0.224166	0.0182699	0.0628049	0.00293955	0.0781521	0.0393294	0.196616	0.0518284	0.0882381	0.0249423	0.168124	0.380846	0.071759	0.00424058	0.0383453	0.0302206	0.0116485	0.0245978	0.123276	0.0483899	0.0422364	0.0481398	0.253806	0.0735274	0.0146427	0.587606	0.0222781	0.00527896	0.104338	0.595464	3.29492	0.320161	0.366518	0.0951585	0.218162	7.10178
70	-13483.6	-13434.8	-48.8353	0.28528	0.297851	0.246124	0.146615	0.204929	0.372009	0.381022	0.101961	0.354117	0.266438	0.217711	0.150259	0.193003	0.277233	0.107558	0.103393	0.136942	0.149366	0.205033	0.258308	0.192999	0.310549	0.18534	0.251503	0.034439	0.066692	0.0151208	0.258277	0.0367197	0.225298	0.0600035	0.214049	0.0203637	0.156448	0.253433	0.0927079	0.00744522	0.0679682	0.0105335	0.00318654	0.00603515	0.0845615	0.169646	0.0115014	0.0481398	0.253806	0.0735274	0.0146427	0.587606	0.0222781	0.00417737	0.0931043	0.570233	3.33249	0.339844	0.355907	0.0924034	0.211845	6.90469
80	-13485.6	-13428.7	-56.8522	0.2981	0.394915	0.225718	0.268067	0.249322	0.366281	0.338912	0.120214	0.408447	0.235217	0.259549	0.191224	0.294581	0.275423	0.104363	0.110493	0.193544	0.219799	0.171517	0.26603	0.167331	0.282385	0.179914	0.276243	0.027846	0.0763105	0.013078	0.410563	0.0239042	0.248444	0.0446663	0.218251	0.0105538	0.211492	0.360743	0.0679639	0.0148869	0.0288994	0.0172981	0.00209282	0.0123885	0.0779136	0.191302	0.0354757	0.039192	0.256191	0.0742186	0.0147804	0.59313	0.0224875	0.00514243	0.103018	0.592598	3.29924	0.339844	0.355907	0.0924034	0.211845	7.69356
90	-13496.1	-13438	-58.104	0.275157	0.37525	0.223117	0.283138	0.189194	0.337994	0.346289	0.18026	0.392035	0.288718	0.202255	0.185455	0.258305	0.302239	0.0856177	0.13498	0.203636	0.144751	0.258461	0.180739	0.178525	0.382343	0.207825	0.247476	0.0834891	0.0762473	0.0182896	0.265188	0.0853377	0.300737	0.0935868	0.19773	0.00671534	0.262767	0.356819	0.0788766	0.0100511	0.0852236	0.00307142	0.00596152	0.0120426	0.061787	0.183441	0.0657229	0.0353111	0.230823	0.0668694	0.0133168	0.633419	0.0202608	0.00349686	0.0853675	0.551624	3.35951	0.339844	0.355907	0.0924034	0.211845	7.84169
