Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-13154.1	-13081.7	-72.3672	0.281262	0.301819	0.289278	0.35316	0.199462	0.25352	0.0669772	0.14966	0.599899	0.161412	0.240765	0.286459	0.141311	0.276816	0.38403	0.388829	0.393351	0.253525	0.337142	0.263828	0.256242	0.14944	0.457689	0.221094	0.114293	0.0864332	0.421235	0.342078	0.0478703	0.109295	0.120716	0.105531	0.121426	0.0728932	0.0406152	0.117086	0.000428375	0.00539227	0.093718	0.244541	0.108808	0.22689	0.276772	0.0646033	0.018515	0.40079	0.0425363	0.0293326	0.465432	0.043394	0.00389867	0.090022	0.56295	3.34313	0.3655	0.356817	0.0619886	0.215695	9.14633
10	-13159.7	-13088.1	-71.6336	0.281402	0.255763	0.28355	0.476831	0.177258	0.203918	0.100762	0.173694	0.527311	0.161412	0.289394	0.350239	0.100216	0.279799	0.375166	0.2599	0.414077	0.281146	0.329915	0.298806	0.222795	0.190618	0.429193	0.228772	0.0345639	0.138504	0.340102	0.274497	0.074301	0.0938372	0.108421	0.115367	0.064052	0.0746198	0.0411915	0.163057	0.0199113	0.0175262	0.0302267	0.247947	0.100354	0.353412	0.288548	0.0819963	0.0157011	0.449545	0.0391711	0.027012	0.42861	0.0399609	0.00390822	0.0901294	0.563206	3.34276	0.357966	0.359668	0.060694	0.221672	9.07297
20	-13159	-13085.5	-73.4394	0.257461	0.27024	0.250853	0.399991	0.151278	0.254539	0.0497122	0.126038	0.618318	0.194568	0.243687	0.287641	0.130695	0.234293	0.328107	0.374578	0.429925	0.350208	0.385954	0.419906	0.197648	0.198869	0.522869	0.214966	0.0207089	0.140224	0.341993	0.289776	0.112889	0.0694038	0.0492888	0.143052	0.0848324	0.10534	0.0737875	0.139456	0.00817309	0.0786078	0.0324072	0.259139	0.0871331	0.279235	0.243109	0.0605862	0.0149823	0.428965	0.0383279	0.0257754	0.408989	0.0829605	0.00247788	0.0721287	0.516958	3.40844	0.356794	0.376278	0.0601787	0.206748	9.25403
30	-13165.7	-13098.2	-67.4964	0.247993	0.354392	0.293626	0.26821	0.15726	0.197036	0.0265114	0.187582	0.615095	0.130323	0.168336	0.295207	0.10686	0.285262	0.366043	0.30436	0.449464	0.309645	0.334481	0.314953	0.226371	0.196128	0.449645	0.174874	0.0612202	0.18702	0.319687	0.327828	0.0339463	0.0591748	0.0902927	0.19158	0.0602807	0.0931161	0.0765048	0.0861264	0.0371308	0.0792893	0.0472613	0.211384	0.0894495	0.185884	0.144747	0.0663299	0.0149434	0.427851	0.0370141	0.0284134	0.409033	0.082745	0.00201951	0.0652441	0.497233	3.4355	0.358385	0.36874	0.060447	0.212428	8.65992
40	-13154.4	-13084.4	-70.0101	0.255942	0.307964	0.25249	0.375684	0.179394	0.163844	0.103518	0.204924	0.524746	0.16934	0.218031	0.290417	0.138697	0.246725	0.4122	0.30436	0.397237	0.299648	0.370635	0.329988	0.220197	0.200958	0.453532	0.174874	0.0353773	0.208449	0.264667	0.370807	0.0456611	0.0831488	0.0902927	0.07582	0.0708134	0.0842648	0.0370294	0.150156	0.0743215	0.0145304	0.0476079	0.264008	0.11154	0.304216	0.188455	0.0505566	0.0149217	0.427231	0.0369604	0.0345431	0.40844	0.0779045	0.00240036	0.0710138	0.513851	3.41273	0.352386	0.364392	0.0594487	0.223773	8.91113
50	-13165.9	-13096.6	-69.2507	0.278132	0.297585	0.234778	0.225783	0.249639	0.245987	0.0879216	0.126822	0.522464	0.175957	0.262357	0.298061	0.111324	0.230876	0.382793	0.344493	0.384603	0.274235	0.337008	0.356721	0.173061	0.170459	0.487755	0.200926	0.140833	0.0819852	0.436927	0.349786	0.0572629	0.0682864	0.0902927	0.118304	0.0579208	0.102918	0.0225295	0.150156	0.0188423	0.00578403	0.0516486	0.275317	0.116978	0.254297	0.188455	0.0646132	0.0164712	0.428626	0.0370811	0.0346559	0.409773	0.0733932	0.00368943	0.0876312	0.557183	3.3515	0.354556	0.359631	0.0649635	0.220849	8.83474
60	-13165.5	-13099.5	-66.0049	0.270148	0.302912	0.244745	0.365793	0.188023	0.131994	0.0740315	0.130432	0.585325	0.186589	0.228381	0.287522	0.102761	0.218172	0.323233	0.349949	0.392999	0.311279	0.298416	0.365467	0.173061	0.157024	0.362452	0.18862	0.0763345	0.156279	0.285106	0.367497	0.0382792	0.0666706	0.0779963	0.0725698	0.0897751	0.216427	0.040837	0.138237	0.131161	0.0728336	0.0516486	0.16506	0.0489953	0.232942	0.202712	0.0097845	0.0185371	0.443365	0.0319226	0.0248194	0.407082	0.0742738	0.00318662	0.0815789	0.542095	3.37314	0.34986	0.373856	0.0609281	0.215357	8.51032
70	-13162.3	-13095.1	-67.2017	0.266003	0.291467	0.262362	0.264582	0.239064	0.216878	0.0769768	0.142184	0.475986	0.139765	0.203486	0.209593	0.129468	0.331138	0.316515	0.314087	0.39147	0.328171	0.288924	0.329124	0.269089	0.134912	0.519379	0.186565	0.0403396	0.107566	0.284389	0.34302	0.0541114	0.106132	0.0520623	0.0496429	0.161532	0.107757	0.105157	0.141758	0.013798	0.0329975	0.0678651	0.209301	0.12552	0.279108	0.273116	0.0137248	0.0221342	0.386226	0.0362091	0.0201239	0.452709	0.0825985	0.00294296	0.0784665	0.534042	3.38455	0.355068	0.369861	0.0584142	0.216657	8.63008
80	-13157.7	-13097.9	-59.7343	0.280757	0.256274	0.267273	0.319035	0.179216	0.188298	0.0434915	0.149238	0.447624	0.139765	0.137157	0.228527	0.0986886	0.357479	0.343682	0.23929	0.393399	0.299662	0.262894	0.403054	0.194065	0.10443	0.378317	0.233224	0.0848375	0.107036	0.230561	0.333407	0.048511	0.0379249	0.0782217	0.0784119	0.0595381	0.0558474	0.117146	0.119039	0.0906125	0.0384434	0.025486	0.223668	0.0736266	0.207977	0.177519	0.031152	0.0175289	0.466422	0.0307525	0.0279374	0.376741	0.0806181	0.00386445	0.0896357	0.562025	3.34447	0.36232	0.362806	0.0581764	0.216698	7.88305
90	-13162.2	-13088.1	-74.0939	0.278053	0.315148	0.310224	0.281141	0.191069	0.196131	0.0692703	0.0914885	0.679493	0.161574	0.275531	0.277171	0.179847	0.389734	0.436771	0.319756	0.342534	0.281328	0.324256	0.378049	0.181914	0.0956184	0.456893	0.219016	0.00805017	0.227848	0.428786	0.29212	0.0637905	0.082732	0.108644	0.0695785	0.10589	0.0880946	0.124271	0.149072	0.0663279	0.0678087	0.0653897	0.207548	0.215662	0.210182	0.253898	0.0294112	0.0195283	0.434153	0.0380912	0.032353	0.419713	0.0561622	0.00368423	0.0875709	0.557036	3.35171	0.362019	0.371882	0.05864	0.207459	9.31906
