Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23338.8	-23313.9	-24.8578	2.79939	0.0486379	0.208825	0.115288	0.156341	0.0795594	0.101061	0.125355	0.169659	0.0830552	0.0676398	0.0504089	0.00650621	0.0197377	0.100583	0.112882	0.00367337	0.0278619	0.0289779	0.00247486	0.0223872	0.0233916	0.018424	0.402252	0.253834	0.0335639	0.016392	0.15833	0.126231	0.167668	0.153715	0.189884	0.0090977	0.126795	0.0686371	0.0312115	0.363567	0.12133	0.0816314	0.0529084	0.12595	0.204167	0.0817317	0.00339871	0.161367	0.377549	0.0974311	0.0998952	0.116186	0.147572	0.373122	0.719779	1.08133	1.82577	0.788255	0.0408268	0.100574	0.0703444	4.34503
10	-15127.8	-15110.9	-16.8913	0.220213	0.12392	0.088155	0.0787525	0.291013	0.104249	0.15777	0.240568	0.190207	0.0521157	0.214129	0.147763	0.0427774	0.0871637	0.15649	0.170067	0.0221069	0.102399	0.0797497	0.00736164	0.113631	0.0315755	0.0866705	0.175905	0.150883	0.0658018	0.0175985	0.122632	0.0361839	0.0247168	0.0248067	0.035136	0.0126049	0.00927939	0.025643	0.0433848	0.0885089	0.0445896	0.0215546	0.0397317	0.0289644	0.0153176	0.0215221	0.00656361	0.0920641	0.162438	0.152077	0.00825681	0.56192	0.023244	0.00100099	0.0461894	0.434332	3.51848	0.363463	0.271893	0.175515	0.189128	3.59996
20	-14576.1	-14543.4	-32.7014	0.256923	0.125799	0.173611	0.0690693	0.471098	0.154229	0.129618	0.246376	0.32777	0.0837828	0.375517	0.38104	0.0495169	0.152491	0.189244	0.289742	0.0712947	0.222341	0.135623	0.0579086	0.234207	0.106113	0.180387	0.209227	0.219319	0.0280073	0.00866487	0.0990974	0.0124938	0.0138971	0.00525233	0.0183334	0.0249335	0.025534	0.00731776	0.0791326	0.063803	0.0294386	0.0184054	0.0207136	0.0049752	0.0117236	0.0508953	0.00229691	0.0792936	0.201389	0.147549	0.0120038	0.545188	0.0145771	0.00245024	0.0717333	0.51586	3.40996	0.29516	0.379341	0.156674	0.168825	5.18024
30	-14441.4	-14399.3	-42.0827	0.340532	0.164811	0.20104	0.104148	0.474339	0.154229	0.201091	0.232533	0.368852	0.0821847	0.401709	0.533362	0.0773138	0.173852	0.243355	0.275406	0.13174	0.344303	0.198007	0.115076	0.303635	0.189135	0.172245	0.292831	0.119452	0.0322061	0.00122968	0.0710645	0.0162189	0.0117936	0.0137603	0.021534	0.0364474	0.020804	0.0217452	0.0462094	0.0939388	0.0162238	0.0596065	0.00970127	0.00621119	0.0347447	0.0435647	0.00504126	0.0797335	0.202506	0.142515	0.0123742	0.548212	0.014658	0.00915093	0.136177	0.657996	3.19668	0.303812	0.390461	0.131953	0.173774	6.1167
40	-14333.5	-14275.5	-57.9964	0.323136	0.21895	0.256994	0.13087	0.54536	0.232484	0.180714	0.454899	0.387417	0.125409	0.496425	0.631405	0.127947	0.212532	0.360639	0.382393	0.140228	0.313965	0.277307	0.122216	0.323543	0.535328	0.24332	0.309851	0.146507	0.0270104	0.00309143	0.0133064	0.0528105	0.033854	0.00753735	0.0251032	0.0221459	0.00712438	0.0248001	0.0303463	0.10166	0.0197525	0.0317384	0.00651261	0.00565196	0.102219	0.0296801	0.00736447	0.0577599	0.254183	0.135534	0.0132421	0.521356	0.0179251	0.0073586	0.122572	0.632687	3.23738	0.311221	0.340805	0.115172	0.232802	7.70841
50	-14249.8	-14189.6	-60.2249	0.302198	0.242985	0.183769	0.092533	0.533119	0.251556	0.250282	0.438937	0.518269	0.11278	0.556036	0.65189	0.104653	0.200091	0.32189	0.295836	0.141434	0.387066	0.34183	0.100326	0.394915	0.421284	0.263614	0.335832	0.104504	0.0271637	0.0133365	0.0218262	0.061555	0.0151711	0.022293	0.0836188	0.033252	0.0080251	0.0250617	0.0222847	0.050688	0.108136	0.0177667	0.0093984	0.00525578	0.090031	0.0425944	0.028788	0.0584057	0.257025	0.137049	0.00474208	0.527186	0.0155925	0.00547533	0.106206	0.599476	3.28884	0.30285	0.353533	0.119474	0.224144	7.93168
60	-13932.3	-13875	-57.3362	0.317684	0.256142	0.250177	0.0768306	0.277177	0.281167	0.27221	0.409488	0.353759	0.0977438	0.375027	0.653725	0.175617	0.211293	0.346663	0.0789465	0.167306	0.209453	0.10716	0.179813	0.49341	0.476228	0.292091	0.302225	0.055885	0.0650216	0.0222877	0.0176254	0.0795963	0.012801	0.182591	0.080724	0.036773	0.0111337	0.0192729	0.0441248	0.185521	0.198911	0.042595	0.0107909	0.0277922	0.0708747	0.117131	0.0173948	0.0421303	0.239468	0.127688	0.0120105	0.564176	0.0145274	0.00683901	0.118303	0.62434	3.25052	0.30285	0.353533	0.119474	0.224144	7.6425
70	-13786	-13735.8	-50.22	0.301704	0.189242	0.254216	0.0873445	0.196371	0.242388	0.190726	0.260034	0.148582	0.131813	0.223387	0.666077	0.126051	0.231616	0.389676	0.0883166	0.124903	0.188834	0.114804	0.144428	0.257431	0.574484	0.263819	0.354418	0.0216401	0.036171	0.0128307	0.0675258	0.158489	0.006978	0.319265	0.0593773	0.0360546	0.0374774	0.0273777	0.136912	0.131701	0.153505	0.0284936	0.0116517	0.0780472	0.0684814	0.0807685	0.00949379	0.0430081	0.24287	0.0895879	0.0213713	0.575931	0.0272315	0.00543455	0.105821	0.598653	3.29009	0.366406	0.336388	0.0839318	0.213274	6.9312
80	-13639.1	-13579.6	-59.5245	0.300621	0.277397	0.180074	0.123739	0.192691	0.274974	0.212571	0.251127	0.158558	0.0873483	0.198976	0.693277	0.139138	0.231616	0.339367	0.0631401	0.141999	0.438512	0.156749	0.135462	0.287022	0.594135	0.267725	0.44958	0.0539293	0.0812929	0.0124796	0.0505325	0.211115	0.00389378	0.372959	0.0888055	0.0580216	0.034258	0.0159872	0.336124	0.180493	0.174915	0.0484434	0.0202615	0.0903948	0.078497	0.0463064	0.00778	0.0311249	0.202563	0.0968724	0.0172332	0.622761	0.0294457	0.00534584	0.104979	0.596845	3.29283	0.366406	0.336388	0.0839318	0.213274	7.86167
90	-13546.5	-13491.3	-55.2267	0.302379	0.252666	0.160604	0.155607	0.17789	0.281035	0.29077	0.260629	0.131129	0.110185	0.126537	0.789686	0.146417	0.259767	0.393464	0.0778881	0.166176	0.373827	0.0811035	0.118868	0.270668	0.34118	0.3302	0.439229	0.0305747	0.114887	0.0126686	0.0734194	0.0855692	0.00254	0.347858	0.0509138	0.0610132	0.025223	0.0167573	0.214187	0.148396	0.165221	0.084464	0.0337768	0.115319	0.0446216	0.0532855	0.0156338	0.0300231	0.230851	0.0934431	0.0166231	0.600715	0.0283445	0.00549031	0.106347	0.599777	3.28839	0.366406	0.336388	0.0839318	0.213274	7.43185
