Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24435.3	-24417.5	-17.8632	25.3443	0.00812107	0.088804	0.00458042	0.212868	0.0718588	0.0092413	0.0372309	0.0191782	0.0413854	0.0575193	0.0784462	0.0492755	0.184399	0.0141969	0.0179259	0.0915756	0.213066	0.0464593	0.0877633	0.0837643	0.113079	0.00586168	0.056389	0.185892	0.0682736	0.0990736	0.171137	0.0633365	0.022065	0.00710347	0.0342299	0.0885346	0.125254	0.0596265	0.0525384	0.0261972	0.00317251	0.177376	0.112873	0.0423067	0.0307024	0.234287	0.181826	0.0941586	0.0201562	0.0354172	0.234751	0.0170731	0.598444	0.760013	0.924743	1.05276	1.26248	0.518339	0.136139	0.181188	0.164334	3.37879
10	-17099.8	-17082.3	-17.4477	7.23898	0.0293958	0.212979	0.00651215	0.176182	0.167407	0.0296745	0.0663943	0.0695002	0.0556944	0.227501	0.134911	0.255319	0.158326	0.0362166	0.0565273	0.119352	0.115936	0.123797	0.121116	0.219026	0.0991207	0.028265	0.15365	0.11198	0.0344469	0.0773368	0.0443172	0.0361267	0.0197192	0.00635271	0.00862864	0.0235436	0.047851	0.0119481	0.021677	0.00977935	0.00456608	0.0310603	0.0451486	0.127534	0.0445817	0.0704721	0.078433	0.109075	0.146458	0.0964341	0.0662253	0.32295	0.258858	0.574841	0.843383	1.0784	1.50338	0.396427	0.279968	0.0719619	0.251643	3.5183
20	-14837.6	-14811.2	-26.3598	0.758931	0.0997929	0.212979	0.0176214	0.303874	0.209755	0.0944689	0.0848638	0.125327	0.0861147	0.24442	0.151478	0.267135	0.175932	0.217718	0.0892012	0.142613	0.11607	0.16028	0.126767	0.361961	0.176718	0.0671769	0.159116	0.0768079	0.0289508	0.0895831	0.0525068	0.0494965	0.0179754	0.00746971	0.0271965	0.0236294	0.0655445	0.00531803	0.0880314	0.00660344	0.00782116	0.0251079	0.0191402	0.102844	0.0445817	0.00918867	0.0351268	0.134738	0.301423	0.0594083	0.0273341	0.356273	0.120823	0.086795	0.390059	0.944892	2.57825	0.297118	0.312568	0.0908973	0.299416	4.47431
30	-14277.5	-14249.2	-28.3106	0.314836	0.156118	0.220346	0.132318	0.383249	0.13888	0.140805	0.0848638	0.191685	0.0812943	0.189179	0.212018	0.174719	0.202908	0.457405	0.0821663	0.103138	0.142675	0.13172	0.117431	0.294253	0.15536	0.11674	0.156641	0.0601621	0.0158084	0.0267985	0.0334638	0.0120456	0.0132251	0.005793	0.0141238	0.0501655	0.0288985	0.00472497	0.0946463	0.00746248	0.0513506	0.0300879	0.00861444	0.0211192	0.0220169	0.00288447	0.104527	0.128591	0.419675	0.0566982	0.0153453	0.340021	0.0396699	0.0065757	0.116075	0.619897	3.25745	0.287306	0.369059	0.0800266	0.263608	4.67383
40	-14189.9	-14162.8	-27.1448	0.302378	0.26179	0.252816	0.0969724	0.383249	0.112784	0.116756	0.0702047	0.156521	0.0976755	0.103281	0.163496	0.185632	0.192228	0.440291	0.0775605	0.115846	0.140004	0.126465	0.11496	0.26954	0.144726	0.140137	0.156641	0.0237297	0.0148365	0.0153165	0.0124924	0.0183682	0.0053692	0.00246352	0.0106668	0.0802851	0.0215765	0.00170444	0.127969	0.0153471	0.0537832	0.0230236	0.0165865	0.0335759	0.0183782	0.0158089	0.12652	0.106233	0.346707	0.0468402	0.0105846	0.452632	0.037003	0.00549018	0.106346	0.599775	3.28839	0.28131	0.371577	0.0890059	0.258107	4.55738
50	-14070.4	-14035.2	-35.2047	0.302119	0.303123	0.248324	0.150894	0.458359	0.138116	0.150508	0.123748	0.221856	0.123028	0.158913	0.144246	0.196999	0.244954	0.481669	0.105812	0.115505	0.185679	0.171059	0.120795	0.343606	0.150848	0.149016	0.163551	0.00918326	0.0240725	0.00929794	0.0104264	0.00831419	0.0164397	0.0111004	0.00832643	0.186135	0.00996398	0.00380437	0.104392	0.0132386	0.0659107	0.00217852	0.0305205	0.00620355	0.0110339	0.0206513	0.161566	0.090382	0.316559	0.0875278	0.0140863	0.453403	0.0380419	0.00546881	0.106145	0.599345	3.28904	0.292855	0.386827	0.0926588	0.227659	5.36337
60	-14061.1	-14021.9	-39.1436	0.306197	0.314858	0.250602	0.132552	0.54458	0.148543	0.171625	0.107703	0.198075	0.123028	0.131759	0.146575	0.220181	0.229283	0.643556	0.128694	0.0920366	0.195193	0.185177	0.162582	0.361084	0.137391	0.192849	0.191029	0.0184069	0.0333952	0.000774566	0.0154504	0.0105191	0.0442437	0.0193595	0.00811211	0.15144	0.00512215	0.0115225	0.102834	0.0133852	0.0830808	0.00905467	0.0347919	0.00654057	0.0198856	0.00844256	0.1519	0.0929538	0.325567	0.0775539	0.0151076	0.466304	0.022514	0.00581142	0.109324	0.606064	3.2788	0.313343	0.37562	0.0899742	0.221063	5.75722
70	-13928.3	-13882.8	-45.4505	0.295525	0.306294	0.317883	0.137516	0.525499	0.180023	0.154926	0.117559	0.196321	0.157514	0.18554	0.180313	0.336197	0.553001	0.192358	0.101943	0.115492	0.174431	0.186197	0.148381	0.453015	0.210483	0.169994	0.210471	0.0369499	0.076391	0.00119639	0.0382128	0.0119915	0.0833872	0.0733642	0.00521305	0.213192	0.0218042	0.00837181	0.144592	0.00402467	0.0833393	0.012881	0.0162894	0.0196166	0.0299192	0.00718728	0.188738	0.0538757	0.291515	0.0709077	0.0167614	0.517183	0.0497579	0.00493931	0.101018	0.58821	3.30583	0.310123	0.371759	0.0993269	0.218791	6.38801
80	-13770.4	-13717.2	-53.2033	0.271143	0.373331	0.394466	0.0984633	0.845437	0.180023	0.203728	0.127035	0.306382	0.173127	0.141729	0.158147	0.439623	0.414509	0.172897	0.108427	0.115492	0.166115	0.235217	0.197683	0.554586	0.244298	0.224168	0.134728	0.0750577	0.0473382	0.00170028	0.0260332	0.0110529	0.0311735	0.122222	0.00550417	0.223078	0.0230217	0.00638271	0.202134	0.0201132	0.114194	0.0129234	0.0130198	0.0458707	0.0325806	0.010557	0.129965	0.05656	0.234004	0.0763207	0.0204398	0.602717	0.00995921	0.00324683	0.0823288	0.544004	3.37042	0.305678	0.373063	0.1017	0.219559	7.16354
90	-13508.7	-13449.3	-59.4682	0.297061	0.271181	0.456834	0.0757763	0.654649	0.297955	0.219885	0.127035	0.352969	0.162723	0.205158	0.158937	0.364675	0.485164	0.185801	0.108427	0.223606	0.171786	0.241923	0.197683	0.513224	0.194531	0.167654	0.185748	0.166238	0.0676063	0.00189734	0.0773301	0.0178634	0.0311205	0.17651	0.00695134	0.486956	0.0660677	0.00638565	0.181694	0.0232309	0.129516	0.0152729	0.0458165	0.10175	0.0294054	0.0266169	0.108214	0.0432578	0.253176	0.0744638	0.0199425	0.588053	0.021107	0.00505992	0.102211	0.590834	3.3019	0.340625	0.355332	0.0949197	0.209123	7.78977
