Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23.1117	0	-23.1117	9.54678	0.138331	0.0952659	0.379398	0.117633	0.181522	0.00962082	0.0199902	0.00713744	0.0277871	0.122949	0.00993392	0.0626347	0.0142441	0.0538347	0.237234	0.255147	0.0153978	0.0898121	0.059092	0.117101	0.216072	0.125331	0.073128	0.056657	0.0453056	0.2116	0.0150672	0.000664195	0.190988	0.0806326	0.0693089	0.0117252	0.0450521	0.0493707	0.0949343	0.0709339	0.107144	0.0631183	0.0385406	0.140404	0.0699392	0.0968743	0.153186	0.0665684	0.0164029	0.0161272	0.0188193	0.0815375	0.800545	0.623741	0.867282	1.07327	1.43571	0.0732259	0.360757	0.0861726	0.479844	4.04004
10	-23.8558	0	-23.8558	17.4061	0.080235	0.187073	0.12905	0.318239	0.19896	0.0133133	0.0155548	0.0102471	0.0733372	0.292758	0.00686465	0.057103	0.0160981	0.0363957	0.0836016	0.286633	0.00640755	0.0922313	0.0927641	0.0571164	0.145489	0.308867	0.0329052	0.0983894	0.0172817	0.219489	0.0265593	0.00196264	0.161751	0.0997172	0.0881405	0.0057592	0.0712285	0.0266566	0.0821977	0.0131171	0.121473	0.0638687	0.071147	0.192616	0.00543678	0.0319559	0.135165	0.0435324	0.405328	0.000328733	0.123438	0.355585	0.071788	0.713888	0.90667	1.06062	1.31883	0.306451	0.361821	0.0208966	0.310831	4.07516
20	-24.1749	0	-24.1749	50.6153	0.0145974	0.23903	0.184944	0.210012	0.14988	0.0389085	0.0156784	0.00831383	0.0713757	0.357608	0.0173224	0.0377666	0.0120152	0.0545979	0.0366806	0.172068	0.00578052	0.0855835	0.149674	0.0545368	0.152839	0.142786	0.0290383	0.118604	0.0119828	0.139273	0.0190918	0.00597331	0.0531635	0.0620972	0.189209	0.0473147	0.0419959	0.0547113	0.287776	0.00751193	0.0219963	0.10119	0.143531	0.197443	0.00590354	0.0363383	0.154875	0.332516	0.0689971	0.156004	0.00655524	0.113355	0.322572	0.827419	0.948897	1.03983	1.18386	0.22027	0.545746	0.00591303	0.22807	3.94102
30	-26.6841	0	-26.6841	32.174	0.00631779	0.0446494	0.289272	0.595272	0.168408	0.0412141	0.0261803	0.00723614	0.129785	0.362267	0.0331031	0.0467486	0.00773845	0.152346	0.0168228	0.101655	0.00509439	0.221617	0.100048	0.123352	0.175963	0.0380296	0.0577618	0.130562	0.0279436	0.0904478	0.0708021	0.0081739	0.0966754	0.0311478	0.0818541	0.0348205	0.0481685	0.0292043	0.0809087	0.0297107	0.0346682	0.0747898	0.0742056	0.310602	0.0130902	0.129591	0.1359	0.207935	0.0753257	0.220446	0.000150164	0.20286	0.293284	0.785649	0.934234	1.04804	1.23208	0.371596	0.153126	0.00271778	0.47256	4.28415
40	-24.0836	0	-24.0836	7.31793	0.0279143	0.266927	0.155463	0.258061	0.149563	0.0582323	0.0376153	0.0146574	0.138369	0.27043	0.0430102	0.0309452	0.00761216	0.172663	0.00587293	0.102386	0.00688028	0.0738985	0.12535	0.157131	0.0842065	0.00501328	0.0855649	0.155171	0.0833287	0.0486822	0.0715139	0.00295838	0.142032	0.0673587	0.135934	0.0565321	0.0955668	0.023781	0.188702	0.028712	0.0268805	0.0948874	0.0283237	0.282224	0.032118	0.180008	0.125891	0.0156968	0.162791	0.424235	0.0867856	0.0521942	0.258297	0.576848	0.844402	1.07821	1.50054	0.315692	0.0513842	0.552289	0.0806346	4.14837
50	-15.7865	0	-15.7865	9.83148	0.0215095	0.214262	0.0161985	0.088475	0.36854	0.037741	0.0404581	0.00918103	0.16345	0.0996568	0.0469638	0.0625258	0.00625478	0.0289407	0.00779506	0.0395505	0.00438127	0.130367	0.0650644	0.176146	0.0313964	0.0158254	0.0383106	0.0975113	0.0900154	0.0746581	0.0630568	0.00270533	0.0263785	0.0711894	0.143605	0.0431737	0.0290393	0.0227465	0.389459	0.0347057	0.0751709	0.0493676	0.0240635	0.0744545	0.123287	0.124236	0.0342842	0.125468	0.154553	0.50804	0.143734	0.0512564	0.0169483	0.628655	0.869579	1.07268	1.42909	0.643071	0.106272	0.112877	0.137781	3.3061
60	-18.1916	0	-18.1916	41.8032	0.0205549	0.209061	0.0167021	0.0717712	0.104774	0.0559474	0.0681492	0.00405863	0.134759	0.0986724	0.0328839	0.0426288	0.00235834	0.0466838	0.00880144	0.136295	0.0188163	0.0411997	0.0562209	0.164627	0.0602231	0.012663	0.0802866	0.0970741	0.146319	0.0947684	0.247205	0.00813056	0.0092348	0.185411	0.145436	0.00626116	0.0786423	0.0139426	0.185093	0.0293579	0.0365033	0.0746569	0.0590785	0.128068	0.185875	0.0777785	0.0897759	0.000237082	0.227558	0.0872475	0.0863324	0.401844	0.196781	0.810822	0.943186	1.04316	1.20283	0.189611	0.483309	0.0391875	0.287892	3.38675
70	-21.6332	0	-21.6332	20.0596	0.00462941	0.241576	0.0698509	0.113425	0.200601	0.115627	0.0249353	0.00358873	0.178076	0.0655901	0.0530502	0.0330565	0.000818131	0.0952873	0.00263652	0.138887	0.0167859	0.23036	0.00945061	0.0533474	0.100662	0.0224465	0.0375522	0.102481	0.101802	0.281791	0.277726	0.00775099	0.00968073	0.165517	0.0652117	0.0052584	0.0736208	0.0136111	0.12286	0.0191677	0.0567458	0.198339	0.0818944	0.0452203	0.08371	0.11476	0.200241	2.76125e-06	0.50134	0.329827	0.0978588	0.0285028	0.0424692	0.732175	0.913993	1.05761	1.29622	0.401971	0.142985	0.174596	0.280448	3.83963
80	-24.3282	0	-24.3282	44.325	0.0121974	0.176174	0.105301	0.0742541	0.0799955	0.0990609	0.108132	0.0024836	0.0717338	0.0523135	0.143806	0.0364878	0.00174344	0.0716501	0.0117531	0.21177	0.0547956	0.166824	0.0321543	0.0640401	0.242933	0.0318879	0.00900027	0.0686526	0.0398316	0.116254	0.198928	0.00762053	0.00947402	0.218966	0.0819923	0.00666387	0.357211	0.054632	0.0961339	0.0180258	0.0688667	0.0613818	0.39126	0.0530002	0.0305731	0.153195	0.094645	0.0063167	0.319134	0.0500935	0.308472	0.00780477	0.308179	0.816058	0.945004	1.04212	1.19682	0.0392189	0.055102	0.200108	0.705571	3.9878
90	-28.2947	0	-28.2947	58.5167	0.0496193	0.266764	0.178449	0.0358507	0.102765	0.0496322	0.137257	0.00336078	0.137853	0.0340139	0.182276	0.0208113	0.00282123	0.127525	0.00853348	0.169982	0.178734	0.150101	0.0232315	0.140026	0.143456	0.0442226	0.0126728	0.248153	0.0233071	0.0521955	0.112948	0.00902999	0.0108047	0.0791946	0.128216	0.0048429	0.224138	0.0390591	0.058934	0.0165174	0.228553	0.0235167	0.198604	0.354267	0.0377916	0.137924	0.125542	0.141172	0.0207524	0.22006	0.0227835	0.20604	0.389193	0.839071	0.952817	1.03743	1.17069	0.493428	0.0545937	0.217492	0.234487	4.31349
