Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23434.9	-23410.8	-24.1305	45.9263	0.0433969	0.0233212	0.00208824	0.0141295	0.0208901	0.0813495	0.060806	0.0558352	0.0117201	0.00384466	0.15807	0.164429	0.350398	0.0379263	0.155753	0.0366097	0.0327388	0.0352588	0.029151	0.0970453	0.11728	0.00281904	0.0607438	0.044209	0.636322	0.160348	0.0281283	0.0332943	0.0351446	0.022788	0.183876	0.151023	0.133907	0.111	0.0691235	0.015361	0.0125743	0.00514768	0.25909	0.0405242	0.0843079	0.225583	0.112669	0.130374	0.0981841	0.133722	0.343805	0.288977	0.00493685	0.819164	0.946076	1.0415	1.19326	0.301311	0.121881	0.526957	0.0498508	3.96002
10	-16671.8	-16654.6	-17.1788	6.4202	0.114776	0.0374386	0.00395875	0.0646808	0.0494751	0.116249	0.167528	0.150071	0.016728	0.0123647	0.200999	0.164429	0.158381	0.194005	0.155753	0.14524	0.0820317	0.129967	0.0968553	0.176059	0.103697	0.0104659	0.0917753	0.117774	0.034649	0.120719	0.00718239	0.0469715	0.00395001	0.0254102	0.0253051	0.0883988	0.0950273	0.0378101	0.0216331	0.0402143	0.0107151	0.0124749	0.110474	0.0421589	0.0818158	0.0636601	0.0331171	0.233658	0.105306	0.0938604	0.128572	0.434939	0.00366524	0.552151	0.831614	1.0803	1.53593	0.241691	0.252334	0.180012	0.325963	3.46239
20	-14704.5	-14680.8	-23.6546	0.277019	0.126548	0.0718543	0.018057	0.106232	0.150273	0.144158	0.224675	0.226262	0.0452924	0.0398956	0.206031	0.282249	0.176154	0.202477	0.16143	0.227758	0.179495	0.177097	0.111429	0.185953	0.153051	0.0243771	0.130037	0.134283	0.0433166	0.0650156	0.00342736	0.0537911	0.0013859	0.0261212	0.0298536	0.0320557	0.0272531	0.0199118	0.0102967	0.0515382	0.0131822	0.0336201	0.132589	0.00993267	0.0592976	0.00543836	0.017584	0.152356	0.215737	0.0671132	0.0471953	0.515708	0.00189005	0.00361667	0.0867833	0.555113	3.35449	0.201329	0.377194	0.14995	0.271527	4.14068
30	-14369.8	-14337.5	-32.215	0.346763	0.20045	0.173698	0.0648723	0.167907	0.173535	0.204043	0.320558	0.1764	0.186898	0.163821	0.19032	0.264463	0.326731	0.312499	0.191313	0.229796	0.198182	0.197864	0.128294	0.185597	0.168184	0.0953536	0.114172	0.0803239	0.0300914	0.0185733	0.00610494	0.0721477	0.00660778	0.0153276	0.0350243	0.0203573	0.0238517	0.00569245	0.00382982	0.0197021	0.0131572	0.0912507	0.0678114	0.00809202	0.0317454	0.00410867	0.00762319	0.145275	0.224775	0.0699249	0.0491725	0.508882	0.00196924	0.00984169	0.141036	0.666594	3.18253	0.347914	0.307966	0.122429	0.221692	4.99637
40	-14264.8	-14223	-41.7735	0.323907	0.240827	0.209938	0.131863	0.15365	0.219431	0.146433	0.436014	0.276614	0.130154	0.177431	0.236053	0.362078	0.429227	0.161358	0.274394	0.303263	0.212611	0.351775	0.104369	0.196833	0.106032	0.102094	0.146172	0.100401	0.0141173	0.0206949	0.00432101	0.244431	0.00159243	0.00831524	0.0383544	0.0129121	0.0207901	0.0163878	0.00237604	0.0148709	0.00942344	0.187778	0.0773355	0.0062996	0.0308027	0.00254208	0.0299741	0.109906	0.17005	0.0529004	0.0372006	0.628454	0.00148979	0.0074337	0.123175	0.633851	3.23554	0.347914	0.307966	0.122429	0.221692	5.95233
50	-14201.4	-14152.9	-48.5218	0.30386	0.356202	0.203135	0.182226	0.180853	0.178523	0.226683	0.596806	0.209308	0.199345	0.218093	0.262962	0.336557	0.381091	0.14866	0.221198	0.339878	0.246617	0.345731	0.131198	0.264593	0.164173	0.135395	0.14725	0.110463	0.0250045	0.0137096	0.0322182	0.229635	0.000797061	0.0100804	0.0426051	0.0527725	0.033182	0.00578647	0.0190999	0.0328186	0.00708157	0.234275	0.0439108	0.00954743	0.0292656	0.00746073	0.0110793	0.0962437	0.216673	0.0484142	0.0325764	0.604789	0.0013046	0.00561363	0.107501	0.602228	3.28466	0.344491	0.315873	0.120125	0.219511	6.62727
60	-14041.6	-13989.9	-51.7166	0.312667	0.494523	0.200235	0.119326	0.170042	0.212934	0.16512	0.626389	0.286662	0.150279	0.148257	0.281193	0.392358	0.234968	0.205348	0.215229	0.262321	0.276891	0.211479	0.144885	0.14906	0.23824	0.137452	0.207082	0.0157383	0.0218325	0.0340563	0.0319589	0.351209	0.000134961	0.0205216	0.0555709	0.093144	0.0195826	0.0144055	0.218481	0.0600637	0.00857641	0.35716	0.0651204	0.00529582	0.0263861	0.0100055	0.00718568	0.0928401	0.165142	0.046702	0.0314243	0.650358	0.0135339	0.00637895	0.114378	0.616475	3.26277	0.344491	0.315873	0.120125	0.219511	6.9467
70	-13963.9	-13909.6	-54.2882	0.315915	0.377368	0.191009	0.155316	0.241334	0.227972	0.145111	0.691637	0.205459	0.158212	0.235097	0.223891	0.398792	0.282174	0.173045	0.232023	0.239166	0.319601	0.199736	0.163904	0.184173	0.138614	0.204678	0.159827	0.0199724	0.0382945	0.0101128	0.0525737	0.404447	9.10774e-05	0.00955703	0.0992967	0.0779769	0.0190536	0.00499659	0.295099	0.18802	0.00911845	0.346457	0.0412218	0.00857316	0.0114121	0.0158191	0.00361858	0.0913853	0.162554	0.0459702	0.0309319	0.655837	0.0133218	0.00667478	0.116919	0.621586	3.25482	0.349496	0.320462	0.12187	0.208171	7.20385
80	-13917.3	-13857.8	-59.4806	0.294761	0.43804	0.189043	0.143073	0.195946	0.302407	0.167148	0.864398	0.292851	0.0810262	0.220222	0.304664	0.398792	0.282174	0.226754	0.244981	0.250717	0.233463	0.1778	0.170924	0.163508	0.205109	0.129312	0.155716	0.0177509	0.0264378	0.0103257	0.0237486	0.424347	2.25292e-05	0.00837245	0.0674985	0.137989	0.0622989	0.0120638	0.290771	0.189661	0.00151055	0.47338	0.025078	0.0793505	0.0147375	0.0190856	0.00069206	0.0842902	0.149933	0.0424011	0.0285304	0.682557	0.0122875	0.00487998	0.100426	0.586899	3.30779	0.349164	0.320158	0.121755	0.208923	7.72319
90	-13853.8	-13785.5	-68.2706	0.283302	0.312953	0.262065	0.170417	0.194445	0.270391	0.145076	1.04037	0.292851	0.130747	0.139792	0.269177	0.531133	0.363771	0.237881	0.295908	0.306559	0.355287	0.206639	0.115349	0.12681	0.26909	0.132942	0.225801	0.012786	0.0493425	0.0141878	0.0536012	0.481574	8.17161e-05	0.0424204	0.041963	0.145477	0.037111	0.0225399	0.435077	0.251659	0.00266533	0.427272	0.0376688	0.108301	0.0220707	0.0186524	0.00234368	0.0749154	0.133258	0.0376853	0.0154648	0.722673	0.0160038	0.00403878	0.0915855	0.566665	3.33771	0.349164	0.320158	0.121755	0.208923	8.60225
