Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19984.8	-19963.3	-21.4851	0.142661	0.0867814	0.271001	0.186969	0.0282079	0.0586376	0.126412	0.0472684	0.044912	0.102545	0.127822	0.012279	0.123869	0.131702	0.0745413	0.0239342	0.0660375	0.0448424	0.0549082	0.000653513	0.0252697	0.0513747	0.10407	0.19078	0.0162953	0.0159859	0.0189597	0.000883409	0.0274393	0.016216	0.115714	0.0766349	0.00630573	0.0573957	0.160722	0.0403576	0.080898	0.0593736	0.0397563	0.158991	0.187253	0.245172	0.114928	3.56676
1	-18343.1	-18321	-22.0704	0.17062	0.115386	0.174915	0.11979	0.124807	0.106825	0.1813	0.13111	0.155429	0.125385	0.162576	0.0216395	0.168474	0.178121	0.0873083	0.0617217	0.103039	0.123374	0.103851	0.00182696	0.132122	0.10257	0.112277	0.0540377	0.030992	0.0192804	0.027323	0.00343591	0.0604767	0.0180929	0.0885904	0.0404596	0.0049736	0.0359187	0.104545	0.0550581	0.0280553	0.0221095	0.0211702	0.0800874	0.0290429	0.0882136	0.0489655	3.6253
2	-17675.1	-17652.1	-22.9732	0.177065	0.0900918	0.140524	0.105746	0.12255	0.151497	0.127023	0.178125	0.172402	0.152046	0.152019	0.0710536	0.17247	0.159666	0.0774069	0.131232	0.135863	0.0984935	0.151513	0.00675175	0.233359	0.104203	0.129672	0.030809	0.0668028	0.0179991	0.0595185	0.00654189	0.0447935	0.0326755	0.0383122	0.030674	0.00389786	0.041074	0.0906894	0.0277419	0.0429304	0.0220048	0.0118664	0.0432074	0.0187415	0.033374	0.0111429	3.71557
3	-17421	-17398.2	-22.8513	0.18093	0.110705	0.131847	0.106748	0.134329	0.196281	0.143411	0.133915	0.16298	0.175588	0.165199	0.0810953	0.178241	0.159666	0.0895447	0.119573	0.143353	0.116752	0.136663	0.0316917	0.166326	0.107037	0.122579	0.0108809	0.0450988	0.0532326	0.0699543	0.0107914	0.0297995	0.0222123	0.034282	0.0192628	0.00189577	0.0457947	0.0796311	0.0153979	0.0248851	0.0360821	0.00831172	0.0519051	0.0182497	0.0166452	0.014618	3.70338
4	-17048.6	-17026.4	-22.2058	0.159914	0.110705	0.0866515	0.097697	0.161389	0.188989	0.144102	0.180278	0.224112	0.116161	0.150796	0.080717	0.173614	0.127593	0.101675	0.116226	0.143705	0.117023	0.0958784	0.0769911	0.143217	0.115625	0.129861	0.0321516	0.0125497	0.0655817	0.0317065	0.00977311	0.0316896	0.0542122	0.0835547	0.034125	0.00143655	0.0668449	0.0188903	0.00892025	0.0331656	0.0181071	0.0187665	0.0437654	0.00924872	0.00453899	0.0168872	3.63883
5	-16861.4	-16840.2	-21.2014	0.141299	0.119321	0.117296	0.11429	0.181335	0.182877	0.119701	0.148823	0.160607	0.157313	0.150796	0.0854627	0.101924	0.121767	0.0826797	0.143605	0.10827	0.117023	0.0985184	0.0966319	0.194241	0.0938469	0.11086	0.0155916	0.0178049	0.0345669	0.0299705	0.0388664	0.021922	0.102074	0.0512886	0.0358736	0.00282471	0.0298894	0.0632845	0.0107697	0.0423077	0.0177792	0.00979446	0.0337057	0.0106005	0.00281651	0.0181747	3.53839
6	-16787.5	-16766.2	-21.3519	0.09675	0.106834	0.125825	0.11429	0.18016	0.154357	0.140577	0.214312	0.181959	0.149745	0.167982	0.075074	0.0915463	0.132751	0.0991587	0.11834	0.126843	0.108263	0.0985184	0.129429	0.159072	0.0800232	0.121751	0.010672	0.0212774	0.0382562	0.0334428	0.0470833	0.0183432	0.0753727	0.0162091	0.0319716	0.00610819	0.0216143	0.0571547	0.00742796	0.0164158	0.0103188	0.015515	0.0472449	0.0600784	0.0126595	0.0327171	3.55344
7	-16605	-16584.9	-20.0768	0.0732004	0.0986894	0.0945548	0.116043	0.165239	0.168636	0.127347	0.202182	0.165327	0.15743	0.145746	0.0842076	0.133551	0.159913	0.102895	0.108947	0.110997	0.110265	0.0722178	0.0955908	0.16216	0.0789813	0.108195	0.0126186	0.0192493	0.0341948	0.0165154	0.0181696	0.0525102	0.0643267	0.0246954	0.0270342	0.018062	0.0104611	0.0604146	0.0168491	0.0187383	0.0119479	0.0101648	0.034853	0.103332	0.0161463	0.0133412	3.42594
8	-16425.3	-16406.5	-18.7384	0.10918	0.0918687	0.0717537	0.109683	0.153101	0.159959	0.119887	0.194583	0.182736	0.162476	0.112562	0.0734553	0.111913	0.159913	0.0994119	0.119614	0.117086	0.105551	0.0767754	0.0934313	0.147467	0.0887401	0.0896994	0.030119	0.013461	0.0672257	0.0177708	0.0285723	0.0428662	0.0419298	0.0192448	0.0320219	0.00725723	0.00589855	0.0553838	0.0240004	0.0155935	0.0113489	0.0134847	0.0283404	0.0409909	0.0214563	0.0242832	3.2921
9	-16383.1	-16363.9	-19.2172	0.0950148	0.125182	0.0921932	0.110983	0.166348	0.139419	0.12417	0.208634	0.181932	0.133359	0.114197	0.0817713	0.114581	0.119544	0.0826562	0.10739	0.107302	0.0979255	0.0731999	0.0979209	0.149382	0.0959087	0.106752	0.0265859	0.00896617	0.0615797	0.0179524	0.0375454	0.0528229	0.0308397	0.0125066	0.0344495	0.0164714	0.0213376	0.0735185	0.0233127	0.0155266	0.00887891	0.0115079	0.050889	0.0442735	0.0457564	0.01949	3.33998
