Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20448.8	-20415.4	-33.3695	0.0645839	0.243803	0.142035	0.0797053	0.0355694	0.000508988	0.0410352	0.139865	0.0700301	0.0296663	0.130638	0.0166492	0.0760509	0.0127231	0.160091	0.677657	0.245759	0.487765	0.0908594	0.0656374	0.125071	0.0144592	0.0104081	0.0643834	0.0306703	0.0134445	0.0159758	0.00136806	0.132709	0.0403625	0.0917803	0.0396529	0.251778	0.000369703	0.0125899	0.0619322	0.161622	0.0220059	0.151688	0.165566	0.045266	0.103149	0.388329	4.75521
10	-18103.2	-18079.1	-24.0128	0.117262	0.195472	0.0686419	0.145157	0.0941399	0.0017196	0.126977	0.117795	0.153121	0.212323	0.107	0.103755	0.092391	0.0849157	0.160533	0.130867	0.223958	0.134183	0.108565	0.141154	0.166843	0.103678	0.155793	0.0278488	0.0140765	0.00659858	0.0222026	0.00517463	0.0210796	0.0474689	0.0437916	0.0465612	0.189208	7.67532e-05	0.0154206	0.0225973	0.0651447	0.0299797	0.101536	0.0243294	0.0866153	0.0455331	0.0580466	3.81953
20	-17475.2	-17452.8	-22.4577	0.109563	0.198967	0.0837083	0.329964	0.14011	0.00185344	0.12507	0.101932	0.189871	0.219084	0.0904232	0.141119	0.0923819	0.165186	0.122664	0.151058	0.0538096	0.130337	0.120535	0.0991507	0.128911	0.147199	0.139535	0.0205297	0.0155476	0.00235052	0.0162316	0.00953815	0.0333395	0.0287937	0.0297215	0.0244513	0.0232557	7.14539e-05	0.00738964	0.0265812	0.0359487	0.0360071	0.0921543	0.0167012	0.112435	0.0204113	0.0301298	3.66402
30	-17162	-17139.3	-22.6186	0.0982893	0.119676	0.0996288	0.353523	0.180588	0.00381813	0.101403	0.0832751	0.159538	0.262186	0.114239	0.120439	0.0794406	0.150955	0.132099	0.125511	0.0710461	0.104441	0.0977365	0.10799	0.134031	0.165976	0.127899	0.0106925	0.022523	0.0141542	0.0107312	0.0146058	0.121988	0.0168377	0.0388731	0.0275917	0.0187561	5.26925e-05	0.0206869	0.0117721	0.0546334	0.0308206	0.0791262	0.0368755	0.108673	0.0315595	0.0154271	3.68011
40	-17005.9	-16985.2	-20.6959	0.108167	0.120423	0.081988	0.287056	0.177644	0.0109448	0.135136	0.102333	0.141058	0.229743	0.103251	0.108804	0.0955883	0.162936	0.141479	0.10107	0.0629693	0.12601	0.100384	0.0608257	0.0844129	0.123492	0.126204	0.00841538	0.0137795	0.0401017	0.0336807	0.0146299	0.089658	0.0102217	0.0503953	0.0235498	0.0213945	0.000259943	0.0205405	0.0129197	0.0533907	0.0206137	0.0659277	0.0183321	0.121715	0.0392408	0.0371585	3.48784
50	-16841.1	-16821.5	-19.6311	0.0913992	0.100408	0.0751877	0.22368	0.171102	0.0534564	0.118363	0.0925937	0.106932	0.253187	0.117245	0.0918847	0.120053	0.125679	0.140207	0.0964144	0.0657569	0.0961617	0.125363	0.0743497	0.0908712	0.123492	0.122257	0.0100528	0.0171291	0.0507593	0.0330184	0.0393329	0.0949037	0.0126902	0.0411493	0.013458	0.014715	0.000183299	0.0215588	0.0268711	0.0544516	0.0576612	0.0186339	0.0291834	0.0947619	0.05589	0.0189126	3.38136
60	-16722.4	-16703	-19.4081	0.0693421	0.0893402	0.0881875	0.234175	0.139136	0.0660242	0.114942	0.0742448	0.111958	0.214885	0.113109	0.10744	0.0799332	0.216523	0.155842	0.1084	0.0526133	0.0785673	0.117602	0.0860553	0.0909152	0.157947	0.139906	0.00287016	0.020297	0.03023	0.0310287	0.0341606	0.0392928	0.0199776	0.0149795	0.0161088	0.0173798	0.000275427	0.0367029	0.0235362	0.0567055	0.0732472	0.00824003	0.0354246	0.0922991	0.0471871	0.0520325	3.35906
70	-16651.9	-16632.8	-19.0789	0.084694	0.115634	0.0736309	0.198984	0.109408	0.10939	0.136608	0.0923737	0.0995758	0.242999	0.114172	0.0980775	0.116726	0.216093	0.134873	0.0881754	0.0654235	0.0982516	0.107555	0.0629787	0.084983	0.151288	0.124789	0.00557733	0.0171189	0.0545661	0.0319363	0.0609608	0.0197202	0.0291983	0.0126915	0.0195153	0.010196	0.000312113	0.0293334	0.0155551	0.040991	0.066876	0.018811	0.00835676	0.0701594	0.035929	0.0516594	3.32615
80	-16256	-16236.9	-19.0557	0.113125	0.116998	0.0736309	0.116191	0.109408	0.110215	0.130033	0.0983072	0.11487	0.231552	0.0992187	0.129528	0.0841768	0.203499	0.125126	0.103825	0.0525005	0.0982516	0.0935818	0.0702911	0.0783597	0.1573	0.139844	0.00827897	0.0301212	0.0245304	0.0431721	0.043893	0.0244729	0.0273508	0.0594741	0.0157783	0.0493846	0.000798685	0.0420827	0.0136227	0.0234349	0.0560311	0.0195173	0.0372181	0.103867	0.0204814	0.0304815	3.32382
90	-16149.3	-16131.9	-17.3396	0.0877956	0.116998	0.0597333	0.11599	0.101075	0.0972453	0.125361	0.0786606	0.0915656	0.231552	0.101427	0.110449	0.110874	0.182251	0.11899	0.103825	0.0543092	0.0913152	0.10424	0.052385	0.0783597	0.149919	0.155401	0.0286844	0.0449054	0.0474528	0.0286569	0.0319832	0.0198962	0.0228051	0.0830302	0.0247252	0.0569387	0.000228918	0.0393816	0.00825607	0.0257868	0.0233165	0.0360947	0.0316732	0.0444601	0.0156331	0.0185809	3.15221
