Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-22878.7	-22852.6	-26.1674	2.21716	0.298926	0.190789	0.0947902	0.0695283	0.10561	0.0326782	0.0322883	0.304052	0.0607497	0.0273592	0.149175	0.0462608	0.0668714	0.119265	0.28054	0.0334591	0.00314629	0.0301379	0.0899979	0.316919	0.0495035	0.0118446	0.0857513	0.218334	0.0073699	0.0153593	0.0506972	0.00588101	0.0104217	0.186543	0.0535965	0.0602583	0.0250803	0.00871366	0.169344	0.366846	0.0857477	0.148415	0.0397659	0.0426629	0.073603	0.278091	0.0358919	0.635072	0.0657972	0.0455468	0.0446773	0.0474621	0.161445	0.317889	0.676283	1.07458	1.93125	0.0193392	0.0335625	0.0437028	0.903396	4.38226
10	-15904.2	-15883.9	-20.272	0.359974	0.0945314	0.183636	0.144077	0.14884	0.116055	0.0748305	0.0410117	0.16852	0.108576	0.113778	0.129053	0.115743	0.132211	0.171874	0.101054	0.101206	0.00507054	0.112477	0.234894	0.153092	0.126104	0.0640234	0.152506	0.0271911	0.0105611	0.0258149	0.0527945	0.00638483	0.00283756	0.0513432	0.0182983	0.0675838	0.0247478	0.00387607	0.0737467	0.2047	0.0498524	0.142623	0.0139495	0.00539903	0.0425054	0.162288	0.0223476	0.283184	0.191823	0.0158746	0.0713367	0.293142	0.14464	0.0113886	0.15129	0.684064	3.15326	0.135457	0.262511	0.0945211	0.507511	3.80201
20	-14544.2	-14517.5	-26.6643	0.245163	0.164336	0.199256	0.139604	0.14884	0.111243	0.0848474	0.172701	0.154887	0.204559	0.118806	0.149988	0.128121	0.186132	0.213256	0.150891	0.182183	0.00733491	0.125468	0.18839	0.325782	0.245759	0.152878	0.197429	0.0189623	0.0448691	0.0123943	0.0815069	0.00654633	0.0040338	0.139079	0.0241402	0.0676962	0.0394254	0.00287202	0.0678665	0.0218082	0.0711578	0.0164032	0.00954486	0.00248741	0.0259647	0.0269375	0.00542499	0.0833442	0.329944	0.038616	0.0200952	0.41555	0.112451	0.00189393	0.0632196	0.491173	3.44371	0.347481	0.365434	0.074922	0.212163	4.44181
30	-14120.8	-14083.7	-37.1051	0.302479	0.190755	0.196439	0.179584	0.246395	0.138216	0.0819289	0.430209	0.167376	0.181177	0.118994	0.222295	0.154094	0.138649	0.266028	0.104134	0.182183	0.00937217	0.34907	0.126557	0.338614	0.220105	0.106441	0.173433	0.0682875	0.256848	0.0193639	0.0999703	0.00481436	0.00072297	0.247531	0.0537018	0.0597447	0.0153973	0.00955583	0.111312	0.0211787	0.0884746	0.0171691	0.00815224	0.00385455	0.0452947	0.0265095	0.00566926	0.0761538	0.322643	0.0594485	0.0149624	0.448574	0.0782188	0.00549853	0.106425	0.599942	3.28813	0.34469	0.362499	0.0823518	0.210459	5.4856
40	-13881.9	-13839.7	-42.2466	0.307743	0.236483	0.237676	0.146999	0.15846	0.193656	0.0890178	0.536446	0.245135	0.211791	0.154243	0.312777	0.210908	0.205853	0.311863	0.0941903	0.244673	0.057132	0.434171	0.0806383	0.134189	0.230465	0.130148	0.206272	0.0320354	0.335976	0.00758015	0.219059	0.00602435	0.000316761	0.0766232	0.0960006	0.0681402	0.0099307	0.00320668	0.0338708	0.0753838	0.0808298	0.00800812	0.00359221	0.0237403	0.0116199	0.0204995	0.0241047	0.0612746	0.401535	0.0478333	0.0268279	0.399593	0.0629361	0.00594438	0.11053	0.608579	3.27495	0.329448	0.346469	0.0787102	0.245373	5.99973
50	-13762.2	-13716.5	-45.6794	0.315086	0.276326	0.293794	0.188078	0.190993	0.187739	0.0823111	0.474422	0.176696	0.29305	0.140806	0.309701	0.187625	0.214759	0.348611	0.0973612	0.258054	0.253348	0.35261	0.10208	0.151718	0.241817	0.126706	0.221509	0.0526334	0.335976	0.0132273	0.192567	0.0112925	0.000578435	0.0241088	0.0872469	0.011208	0.0115443	0.00781287	0.00880276	0.184837	0.044331	0.0290224	0.00864495	0.0624329	0.00429186	0.0489422	0.0333511	0.0694269	0.30467	0.0605449	0.0412205	0.505784	0.0183535	0.00659862	0.116271	0.620289	3.25684	0.329914	0.346959	0.0774059	0.24572	6.34297
60	-13729.9	-13682.8	-47.1298	0.315086	0.197637	0.310572	0.16452	0.168051	0.1979	0.0981233	0.474422	0.22869	0.425207	0.127627	0.305767	0.212801	0.142721	0.377173	0.0889378	0.318764	0.310264	0.193178	0.140006	0.148248	0.252971	0.113403	0.276045	0.0504199	0.283517	0.00819789	0.241311	0.0139195	0.00144332	0.014427	0.0658253	0.0248407	0.0133198	0.00238097	0.0106508	0.173846	0.0332601	0.0525493	0.0130368	0.0550197	0.00291705	0.0550743	0.0990317	0.0639006	0.309298	0.0599367	0.0341228	0.514573	0.0181692	0.00659862	0.116271	0.620289	3.25684	0.322879	0.350602	0.0782186	0.2483	6.48802
70	-13686.6	-13646.2	-40.4085	0.320362	0.216467	0.249663	0.175484	0.209399	0.149869	0.110537	0.322205	0.160952	0.276972	0.0961637	0.282528	0.145894	0.138418	0.296725	0.0975259	0.321513	0.231637	0.162606	0.173423	0.233264	0.307593	0.109526	0.195762	0.0777304	0.29332	0.0109576	0.0830339	0.02255	0.00160407	0.0428868	0.0275404	0.0128996	0.0351652	0.00437242	0.0150461	0.151086	0.0375423	0.0484237	0.0304692	0.0561615	0.00585004	0.0284419	0.166642	0.0651908	0.321751	0.0611469	0.0348118	0.486922	0.0301781	0.00709168	0.1204	0.628465	3.24404	0.33406	0.344813	0.0769269	0.2442	5.81585
80	-13544.6	-13503.8	-40.8974	0.316787	0.166983	0.268649	0.182165	0.167269	0.183184	0.0801206	0.263037	0.168284	0.283487	0.0735703	0.255045	0.198777	0.124886	0.421751	0.100206	0.370834	0.26457	0.159573	0.16237	0.124082	0.296633	0.121302	0.210085	0.0419582	0.379565	0.00529218	0.0723245	0.0217893	0.0013598	0.0175458	0.0232004	0.0309559	0.0251935	0.00491925	0.0525716	0.091774	0.0896279	0.0147124	0.141293	0.0283927	0.0394368	0.0249192	0.111068	0.0626457	0.357056	0.0565252	0.0255801	0.46923	0.0289635	0.00675547	0.117601	0.622946	3.2527	0.33406	0.344813	0.0769269	0.2442	5.86476
90	-13504.5	-13464.6	-39.9459	0.316787	0.173294	0.201866	0.182266	0.126273	0.183184	0.0845594	0.278576	0.221872	0.281649	0.0594176	0.294517	0.192276	0.206399	0.253582	0.0880448	0.351291	0.227679	0.186575	0.0971795	0.131068	0.336284	0.12871	0.210085	0.0393523	0.401736	0.00217362	0.0613622	0.0191889	0.00520392	0.0105792	0.0209228	0.0232291	0.0395039	0.00272938	0.122935	0.0670148	0.0760941	0.0211394	0.144395	0.0539972	0.0511409	0.0210284	0.0892359	0.0526476	0.352793	0.0558504	0.0241542	0.463628	0.0509263	0.00675547	0.117601	0.622946	3.2527	0.344412	0.355498	0.0793107	0.220779	5.76961
