Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-19.3575	0	-19.3575	1.35874	0.0306258	0.016308	0.110443	0.0235012	0.022979	0.0401357	0.150372	0.264062	0.00737952	0.0259263	0.152383	0.0697413	0.0121609	0.0823818	0.159449	0.0138473	0.049091	0.0830797	0.280068	0.0274129	0.0630934	0.0886767	0.0404207	0.0279071	0.176533	0.0874346	0.13207	0.0585664	0.0864453	0.0120097	0.0121283	0.0307946	0.0395205	0.0227689	0.0664602	0.00361535	0.709469	0.121709	0.0125619	0.0124103	0.186825	0.070284	0.0225108	0.22422	0.116623	0.107833	0.428611	0.113796	0.00891799	0.202652	0.56322	1.04092	2.1932	0.105379	0.395231	0.297218	0.202171	3.70556
10	-19.8554	0	-19.8554	2.3123	0.0650654	0.024535	0.0591174	0.0419434	0.0123206	0.0205576	0.275632	0.173823	0.016568	0.0186771	0.018075	0.181212	0.027055	0.0508181	0.0420563	0.0186198	0.176155	0.0711496	0.14645	0.0466578	0.0350066	0.0207682	0.0411637	0.0349065	0.074838	0.421406	0.0888588	0.0738755	0.0793032	0.0201076	0.0279308	0.027521	0.0693454	0.00638296	0.0696764	0.00846678	0.686471	0.127832	0.0174508	0.0404017	0.219855	0.0544494	0.0180809	0.0527484	0.366747	0.212123	0.00184126	0.354146	0.0123941	0.327907	0.684585	1.07615	1.91136	0.217708	0.172298	0.490431	0.119562	3.75059
20	-18.6978	0	-18.6978	2.56058	0.0569259	0.061111	0.125433	0.1191	0.0108609	0.0326841	0.523457	0.0415946	0.0136437	0.0272255	0.00945872	0.161543	0.0254501	0.0497407	0.0157731	0.0475036	0.186743	0.0513128	0.114131	0.0878416	0.111665	0.0167778	0.122864	0.0792032	0.0433835	0.27977	0.112054	0.0959761	0.0376783	0.0167106	0.0177162	0.0639723	0.0488479	0.0216032	0.0381898	0.0136679	0.42992	0.0734423	0.0144459	0.00862014	0.145387	0.0518967	0.0282587	0.308888	0.0562691	0.0728355	0.452335	0.0860387	0.0236337	0.352126	0.703876	1.07928	1.86471	0.19105	0.499551	0.276787	0.0326117	3.63358
30	-22.2729	0	-22.2729	1.23678	0.140206	0.102606	0.231138	0.022637	0.0133914	0.0359174	0.181453	0.0504217	0.0445462	0.0342943	0.0140843	0.221444	0.0240741	0.133287	0.0085883	0.0482467	0.129779	0.0103484	0.495692	0.0854018	0.0777375	0.0073685	0.0812221	0.0186125	0.0252558	0.349662	0.385929	0.128177	0.0728063	0.0116266	0.0299472	0.0658364	0.123622	0.0249967	0.0424779	0.0110642	0.142249	0.0352929	0.0188028	0.00807536	0.200557	0.0867139	0.0221187	0.572021	0.0252865	0.0215176	0.336317	0.0125903	0.0322675	0.181654	0.537946	1.03033	2.25007	0.222352	0.223813	0.0495096	0.504326	3.99771
40	-18.7305	0	-18.7305	2.71276	0.291086	0.300344	0.0226423	0.0198065	0.00984971	0.0118345	0.0569315	0.0709263	0.0447132	0.168495	0.0207526	0.286298	0.0197637	0.103156	0.00351833	0.0489347	0.16603	0.0144722	0.41168	0.0557921	0.0997115	0.00654212	0.0400422	0.0720562	0.0710646	0.0962197	0.263416	0.108088	0.0919891	0.0264376	0.0310113	0.0110862	0.0810532	0.0228159	0.0327896	0.0092268	0.202767	0.0111953	0.0219527	0.001935	0.158231	0.033481	0.0159559	0.0122296	0.292065	0.320181	0.0681789	0.304981	0.00236491	0.365743	0.714273	1.08068	1.83931	0.250839	0.14671	0.103095	0.499356	3.63609
50	-18.0203	0	-18.0203	4.39132	0.24838	0.323666	0.0427703	0.0128962	0.0126051	0.0252535	0.0235114	0.0260348	0.027161	0.046158	0.0291931	0.307734	0.0566959	0.0502686	0.0126461	0.0197559	0.191779	0.0116863	0.106435	0.0991638	0.0790856	0.0105875	0.0263292	0.141112	0.101463	0.156286	0.0872122	0.0802743	0.410777	0.0252678	0.0332379	0.0116177	0.0453512	0.0420307	0.0154173	0.00735374	0.0969913	0.0601194	0.0893383	0.00211688	0.182173	0.140577	0.038164	0.384598	0.123804	0.160074	0.0160487	0.0352099	0.280265	0.474647	0.78774	1.08416	1.65345	0.0577404	0.167712	0.470029	0.304518	3.55668
60	-16.0989	0	-16.0989	25.641	0.0248961	0.367889	0.0738142	0.0126006	0.0446533	0.0558213	0.0389808	0.0316612	0.0257538	0.0356763	0.0157442	0.0851487	0.0333583	0.0804954	0.0825981	0.0869099	0.0735221	0.00804496	0.135645	0.0451197	0.14211	0.0110544	0.0361766	0.117094	0.151609	0.247554	0.0337362	0.0160614	0.219419	0.00639231	0.0203111	0.0154092	0.0419378	0.0355301	0.0113723	0.0059431	0.43352	0.00907736	0.0347278	0.00588468	0.208394	0.0595851	0.0370565	0.315473	0.0125795	0.302405	0.00484893	0.103944	0.260749	0.761327	0.925239	1.05253	1.26091	0.00834253	0.13116	0.301084	0.559414	3.25829
70	-17.5264	0	-17.5264	19.6622	0.0318174	0.169331	0.125012	0.0148021	0.206528	0.0292785	0.0440158	0.0404931	0.0150465	0.0363266	0.0147981	0.349708	0.026752	0.256084	0.0788703	0.0620956	0.0464605	0.00453346	0.23348	0.0551765	0.0888546	0.0116513	0.120341	0.214928	0.0724692	0.160787	0.0214785	0.0520493	0.093452	0.00438782	0.0956599	0.0480387	0.0315142	0.0533979	0.00481853	0.00795006	0.18941	0.0128279	0.0125521	0.0281227	0.0588421	0.11547	0.0913219	0.0231888	0.00229226	0.381308	0.509785	0.0752807	0.00814581	0.729662	0.912999	1.05803	1.29931	0.0027234	0.320604	0.499852	0.17682	3.43094
80	-21.8809	0	-21.8809	6.45218	0.191536	0.170984	0.0982037	0.0172901	0.176798	0.0608738	0.0803014	0.0662991	0.00762082	0.0234681	0.0383901	0.324594	0.0200101	0.302031	0.112333	0.0235053	0.064864	0.00592505	0.249532	0.0227254	0.0587605	0.0253709	0.168211	0.0902097	0.0130389	0.0893466	0.132607	0.108736	0.220801	0.00444927	0.129302	0.0329646	0.0467318	0.0586825	0.0118319	0.00589749	0.26162	0.012756	0.109312	0.013954	0.0254974	0.0416017	0.213464	0.266505	0.127779	0.289183	0.183689	0.00283651	0.130008	0.553108	0.832119	1.08023	1.53455	0.232987	0.398363	0.22619	0.142461	3.93243
90	-32.5275	0	-32.5275	48.7651	0.190569	0.113636	0.189164	0.00951109	0.146762	0.234645	0.0192472	0.158324	0.00491464	0.0202591	0.0244374	0.793207	0.0127448	0.0784588	0.139464	0.224522	0.0348142	0.00776064	0.123598	0.00904495	0.100957	0.054934	0.0219687	0.279363	0.0139744	0.0931466	0.077441	0.147205	0.390615	0.00426383	0.305275	0.0384451	0.0465153	0.0685886	0.033889	0.00270995	0.0833722	0.0126786	0.133336	0.0136225	0.0362836	0.181868	0.109998	0.286686	0.00242332	0.120336	0.0520867	0.460292	0.0781762	0.8243	0.947835	1.04046	1.18741	0.0100891	0.203532	0.469679	0.3167	4.78553
