Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19350.8	-19318.2	-32.5752	0.00100462	0.177442	0.0345479	0.0367611	0.176227	0.0839591	0.0143898	0.0828841	0.157993	0.0275231	0.0168233	0.162589	0.0478308	0.188628	0.202781	0.020258	0.433463	0.162041	0.0410405	0.0302042	0.0635505	0.0777733	0.0794406	0.16781	0.0944945	0.105369	0.0403894	0.218724	0.102524	0.0313165	0.187753	0.121977	0.149622	0.115247	0.01673	0.0305307	0.205851	0.11248	0.0132359	0.15166	0.0275556	0.442923	0.0204316	4.67578
1	-17888.1	-17865.8	-22.2498	0.000486232	0.201118	0.0514076	0.142807	0.125693	0.0685412	0.019045	0.221211	0.18964	0.0983484	0.043472	0.199799	0.0847044	0.152365	0.202781	0.059886	0.165557	0.13518	0.13479	0.0676205	0.114869	0.0856946	0.0847995	0.0309372	0.131443	0.0236428	0.0284344	0.0740878	0.0676689	0.0272295	0.0183221	0.0478028	0.0704514	0.0303884	0.0389861	0.0119388	0.105704	0.0319939	0.0161126	0.0536017	0.0131413	0.15148	0.0200492	3.64323
2	-17218	-17197.2	-20.722	0.00451314	0.174059	0.0905443	0.126841	0.0908283	0.0677551	0.130687	0.219771	0.137977	0.105615	0.0620493	0.112947	0.101335	0.12726	0.198834	0.0892064	0.176752	0.145539	0.13479	0.103065	0.105974	0.112118	0.0999333	0.0151403	0.0860285	0.0206283	0.0285422	0.0238118	0.0450149	0.0145668	0.0259016	0.0477721	0.0930719	0.0312921	0.0157195	0.0171818	0.0742925	0.0107174	0.0429853	0.0548794	0.021281	0.0710599	0.0321768	3.49046
3	-17100.2	-17079	-21.193	0.00698901	0.14842	0.102718	0.184219	0.126823	0.0642069	0.121403	0.196909	0.159571	0.105272	0.113046	0.0938758	0.0833435	0.156263	0.198834	0.0817209	0.225376	0.135059	0.159542	0.106702	0.108194	0.0885485	0.0848534	0.0279242	0.107721	0.00916032	0.0209748	0.0103933	0.0544027	0.0239343	0.0205596	0.0526281	0.0832012	0.0250583	0.0148725	0.0201574	0.027276	0.00348942	0.0326786	0.0283962	0.037936	0.0554551	0.0294423	3.53755
4	-16886.4	-16866.8	-19.5738	0.0618253	0.108519	0.0919636	0.109776	0.141055	0.0649591	0.121407	0.202444	0.153691	0.0955267	0.170853	0.138586	0.105547	0.112505	0.173261	0.0650933	0.188934	0.135422	0.127142	0.0984422	0.0999821	0.110465	0.0732361	0.0195435	0.095492	0.0253852	0.0169765	0.00327297	0.0580031	0.0193755	0.0178324	0.0608428	0.0562341	0.0179691	0.0525158	0.021977	0.0169593	0.00275437	0.0455184	0.0200254	0.0369876	0.0187317	0.0186046	3.37564
5	-16695	-16674.9	-20.1232	0.0898149	0.117095	0.0674679	0.13784	0.12882	0.0589542	0.117385	0.172596	0.183578	0.0929833	0.189059	0.139249	0.0915262	0.129424	0.180489	0.0808403	0.170392	0.142967	0.113513	0.106945	0.100276	0.0846844	0.0848032	0.0410738	0.0602058	0.0357314	0.0274946	0.00527213	0.065853	0.0247035	0.0257262	0.0685085	0.0410676	0.0176584	0.0420047	0.0336213	0.0131192	0.0104393	0.0392152	0.0147653	0.0524424	0.015952	0.0150196	3.43058
6	-16622.6	-16602.9	-19.6875	0.0898149	0.1074	0.0762056	0.105588	0.153393	0.0752638	0.0931442	0.192005	0.169551	0.103788	0.153057	0.14427	0.111784	0.132068	0.109391	0.0799248	0.189639	0.143498	0.143646	0.117135	0.117203	0.0901139	0.0851782	0.0203086	0.0336317	0.0231806	0.0217904	0.0088147	0.0566174	0.0942174	0.0298479	0.0527684	0.0385547	0.0225768	0.00918708	0.0179351	0.00748727	0.0271246	0.0480365	0.0231689	0.0407095	0.00973966	0.01825	3.38701
7	-16560.1	-16540.2	-19.8741	0.110752	0.122732	0.0907385	0.118678	0.106357	0.0742295	0.0739175	0.173468	0.162662	0.107363	0.178942	0.136769	0.100523	0.138227	0.123237	0.0846476	0.199503	0.131421	0.141263	0.101168	0.11011	0.0998933	0.0930072	0.0228695	0.0336317	0.00563141	0.0096027	0.0406547	0.0467072	0.0942174	0.0158814	0.0517846	0.0418047	0.0470729	0.00551778	0.0288994	0.0153272	0.00983371	0.0573762	0.0278825	0.0211144	0.0157597	0.0344834	3.40566
8	-16463.5	-16443.8	-19.6722	0.0904055	0.114384	0.0767755	0.118678	0.126935	0.0988048	0.0815835	0.119885	0.143952	0.0895691	0.202263	0.137938	0.113874	0.110369	0.118452	0.0685069	0.126763	0.141638	0.145484	0.0716271	0.110094	0.104497	0.0930072	0.0141444	0.0287359	0.00835448	0.010204	0.0497498	0.0419069	0.124881	0.0154637	0.0678529	0.0268209	0.0466477	0.00727021	0.0646407	0.0434386	0.016657	0.0584385	0.012824	0.0485262	0.0198033	0.0736325	3.38548
9	-16304.8	-16285.4	-19.4653	0.105191	0.135165	0.0837876	0.100595	0.141601	0.0780305	0.0863044	0.0951736	0.151927	0.103196	0.199941	0.137785	0.0931138	0.135911	0.123501	0.0772441	0.147127	0.141638	0.129576	0.0800606	0.105472	0.0911493	0.113086	0.0196156	0.0222411	0.00629897	0.0256816	0.0332008	0.0309893	0.119617	0.0129661	0.0712184	0.0138964	0.115229	0.0124325	0.0450455	0.0137231	0.0196036	0.0430013	0.0136141	0.02712	0.0165602	0.0461535	3.36478
