Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19807.9	-19785.6	-22.2869	0.0764451	0.095942	0.059341	0.00660626	0.0509936	0.124784	0.00228273	0.0387035	0.0660185	0.124145	0.0256004	0.079592	0.124368	0.123687	0.0735253	0.128799	0.03167	0.183468	0.122417	0.0662992	0.012646	0.210676	0.0196291	0.0451809	0.077514	0.139216	0.00100434	0.151795	0.0861966	0.0404265	0.0641722	0.0279122	0.0454392	0.00737033	0.0225889	0.271772	0.110965	0.269289	0.0112603	0.0148136	0.187864	0.0128347	0.211694	3.64695
10	-17995.8	-17975.5	-20.2926	0.120789	0.206097	0.0951173	0.010281	0.110681	0.176901	0.00319892	0.11531	0.150683	0.103355	0.0571063	0.06586	0.100648	0.11017	0.0378419	0.113932	0.116655	0.181644	0.135229	0.0969579	0.0522003	0.151396	0.0741119	0.039835	0.0154918	0.0810797	0.00072478	0.0156315	0.0805261	0.0776366	0.0193434	0.0671166	0.0464121	0.0102663	0.00960477	0.107141	0.0806341	0.214247	0.0589803	0.0432911	0.057647	0.0137945	0.0219426	3.44751
20	-17645.7	-17624.7	-20.9853	0.085875	0.185849	0.0765478	0.0354554	0.122801	0.198322	0.00740135	0.209572	0.150683	0.162048	0.109861	0.0771845	0.100517	0.0987527	0.0485591	0.107399	0.0999348	0.178282	0.106828	0.0928537	0.117605	0.123727	0.197517	0.040133	0.0112277	0.0749453	0.00218467	0.00465788	0.0777712	0.0633696	0.0103045	0.0457473	0.0292123	0.023237	0.0118443	0.0443787	0.0565661	0.145617	0.0422453	0.0321326	0.0574882	0.0202908	0.0298609	3.51679
30	-17372.1	-17352.5	-19.5564	0.0874277	0.193413	0.0733329	0.0544681	0.117562	0.162491	0.0241353	0.186049	0.173988	0.156826	0.171479	0.0744196	0.0919126	0.102021	0.0384971	0.118153	0.0983924	0.125463	0.117512	0.0991674	0.100368	0.124773	0.179579	0.0635746	0.0257272	0.0693006	0.00210964	0.00495679	0.0848025	0.0350147	0.0239913	0.0290688	0.0144511	0.0368018	0.00841968	0.0123011	0.0328885	0.0641373	0.0111235	0.0207657	0.0832358	0.0182626	0.0615331	3.3739
40	-16852.7	-16832.2	-20.5075	0.105138	0.143158	0.0747118	0.134789	0.178694	0.150913	0.171781	0.163177	0.177372	0.0718227	0.156027	0.0930311	0.112095	0.0815003	0.0519452	0.120077	0.0754088	0.130284	0.154559	0.0881437	0.114397	0.117987	0.147281	0.072051	0.00796257	0.0169876	0.0131198	0.016909	0.0969102	0.0128086	0.00515396	0.0431052	0.0143372	0.025117	0.0178734	0.00575049	0.0274031	0.0137969	0.026344	0.0226158	0.143184	0.0248514	0.0484348	3.46901
50	-16718.1	-16698.9	-19.2811	0.0932388	0.106238	0.0578647	0.151331	0.202467	0.154052	0.129004	0.158794	0.150866	0.0996814	0.132542	0.0687273	0.108199	0.0679414	0.0716508	0.122149	0.0975797	0.114817	0.135253	0.0954883	0.0829751	0.117735	0.127849	0.0451983	0.0145171	0.0379932	0.0373589	0.00669829	0.0866709	0.0127287	0.0133819	0.0382151	0.0776204	0.0192837	0.0271356	0.0127077	0.0453759	0.00925662	0.0123809	0.0312386	0.107577	0.0165392	0.0480459	3.34637
60	-16593	-16574	-18.997	0.0902295	0.0935329	0.0502615	0.168077	0.140351	0.175737	0.102939	0.158794	0.188202	0.100324	0.127372	0.0629841	0.109896	0.0989035	0.0662089	0.0965444	0.0699185	0.110343	0.124818	0.0957708	0.108172	0.124804	0.133501	0.0551348	0.0181664	0.0147722	0.0356758	0.031246	0.0471082	0.00669096	0.0528645	0.0342567	0.094204	0.0427447	0.0205402	0.0149162	0.0295623	0.00250906	0.00568557	0.0345421	0.108047	0.0183497	0.0532536	3.31796
70	-16215.5	-16196.6	-18.8994	0.128506	0.125817	0.0610302	0.172524	0.128482	0.0879902	0.0988331	0.159481	0.155743	0.0740909	0.160692	0.0886663	0.111363	0.077356	0.0434467	0.0932296	0.0686934	0.113431	0.12441	0.107439	0.0824964	0.120927	0.122903	0.0639272	0.0221633	0.0212222	0.030623	0.0394536	0.0329851	0.00874213	0.0460964	0.0200951	0.0765462	0.0439713	0.0606164	0.0188744	0.0587821	0.0193708	0.00696209	0.0279658	0.11781	0.0216802	0.0627589	3.30819
80	-16063.9	-16045.5	-18.4238	0.122591	0.0880394	0.0739047	0.201382	0.157547	0.0973234	0.1134	0.116181	0.207602	0.0917645	0.109818	0.0752811	0.105419	0.0878949	0.0658138	0.0972004	0.0982349	0.0987425	0.149377	0.0946414	0.0837433	0.0908299	0.106336	0.0855838	0.011491	0.0161217	0.0351973	0.0370615	0.0162764	0.0322588	0.0160078	0.0399295	0.0436901	0.0155158	0.0495396	0.0121611	0.135966	0.0184091	0.019281	0.011765	0.089336	0.011213	0.0307636	3.26064
90	-15976	-15959	-16.9801	0.134414	0.105103	0.0791881	0.129077	0.152697	0.0885732	0.096266	0.123769	0.161745	0.0822725	0.109818	0.0638343	0.134748	0.0866228	0.0604749	0.0697529	0.0803413	0.101793	0.13144	0.094871	0.0993349	0.10279	0.106336	0.0769816	0.00995415	0.0211412	0.0241236	0.0346126	0.0388874	0.123955	0.00958454	0.0305962	0.0250169	0.0264565	0.0351054	0.0101479	0.108247	0.00531733	0.00416081	0.0351603	0.0509848	0.0151483	0.0354222	3.11626
