Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-35.3269	0	-35.3269	40.39	0.00536334	0.0886936	0.132375	0.131215	0.0425152	0.141335	0.286283	0.0454914	0.0699342	0.390053	0.0311764	0.0335169	0.301859	0.111899	0.0206028	0.0385346	0.0334768	0.222819	0.319229	0.138335	0.0189223	0.076367	0.275023	0.251291	0.433683	0.0516693	0.00650377	0.255235	0.0470577	0.000676996	0.0262916	0.051712	0.0204277	0.0376238	0.0260322	0.192843	0.169529	0.0392397	0.201041	0.0784035	0.0415825	0.126529	0.0949527	0.0418931	0.164239	0.0762102	0.142953	0.253255	0.32145	0.807682	0.942089	1.04378	1.20645	0.0969964	0.165608	0.144365	0.59303	5.10734
10	-31.0969	0	-31.0969	31.8301	0.00377112	0.106618	0.166723	0.0287996	0.0162886	0.102915	0.187499	0.0291856	0.0545436	0.472545	0.0502005	0.0606634	0.0733924	0.127246	0.0180236	0.182031	0.022639	0.118975	0.131502	0.3579	0.00312523	0.519418	0.0362189	0.0873917	0.111052	0.022984	0.00417011	0.409126	0.0345602	0.000156837	0.0163015	0.0698444	0.00569045	0.0198133	0.034101	0.150539	0.117313	0.0646105	0.410894	0.0986386	0.0471633	0.0979198	0.0546551	0.1918	0.181512	0.0140239	0.130789	0.122444	0.359431	0.784551	0.933835	1.04824	1.23337	0.0268412	0.775485	0.153964	0.04371	4.72715
20	-22.2043	0	-22.2043	89.8862	0.00281065	0.171667	0.122083	0.0246645	0.0039166	0.189231	0.062288	0.0592856	0.0438283	0.0749765	0.0360172	0.152778	0.250938	0.306624	0.00352519	0.188543	0.0320987	0.0952006	0.0479164	0.124739	0.00447334	0.190267	0.0257915	0.0483933	0.0896024	0.040981	0.00266951	0.165225	0.0531813	0.000431613	0.0277632	0.0845018	0.0087816	0.010717	0.104394	0.129303	0.111324	0.0751873	0.128992	0.0717455	0.0720429	0.0703592	0.0383506	0.111627	0.0162077	0.0439617	0.169397	0.531022	0.127785	0.869294	0.962651	1.031	1.13706	0.0664027	0.0659603	0.858718	0.0089194	3.54761
30	-26.5098	0	-26.5098	21.5929	0.00469434	0.165311	0.148928	0.0427062	0.00660235	0.0797325	0.0167778	0.026429	0.034217	0.0573026	0.0497386	0.0676779	0.0765011	0.687442	0.00406492	0.0520779	0.0450974	0.232227	0.053624	0.200638	0.00389364	0.191721	0.0793253	0.235265	0.187068	0.0444856	0.00160772	0.0981292	0.101801	0.000861474	0.0278218	0.0869103	0.0101552	0.0365692	0.18837	0.117481	0.322649	0.0813836	0.216844	0.0395128	0.111368	0.0612565	0.0233507	0.610086	0.0983982	0.0344025	0.221379	0.0203674	0.0153672	0.741247	0.917548	1.05606	1.28514	0.0410252	0.23565	0.644547	0.0787782	4.31962
40	-23.0224	0	-23.0224	58.3631	0.00964093	0.0921017	0.185813	0.0310666	0.00911348	0.129182	0.0177227	0.010117	0.0164732	0.0939848	0.0682829	0.0554036	0.184563	0.0542192	0.00251874	0.106042	0.125423	0.330817	0.0308133	0.116671	0.0116188	0.24135	0.149829	0.0932276	0.0793279	0.0289575	0.00276301	0.0918439	0.146999	0.000323707	0.0415167	0.00941039	0.0211626	0.128553	0.131011	0.0969984	0.231453	0.0720703	0.305376	0.0341786	0.0993887	0.0791633	0.020541	0.592605	0.0317102	0.0443755	0.106251	0.0858774	0.139181	0.838866	0.952749	1.03747	1.17092	0.00907342	0.568681	0.394677	0.0275693	3.78703
50	-16.7156	0	-16.7156	57.3468	0.0103321	0.229753	0.145914	0.0521426	0.0175341	0.160858	0.0857949	0.00692445	0.00749808	0.0466054	0.149984	0.0486878	0.0780907	0.0296533	0.0017259	0.210273	0.13881	0.242103	0.0284242	0.0619273	0.00966926	0.145117	0.0288984	0.175528	0.0575242	0.0370025	0.00687014	0.0924306	0.149714	0.00086048	0.0199739	0.0104437	0.028753	0.0589206	0.0607755	0.0163925	0.166929	0.0211695	0.215433	0.0287347	0.0177606	0.0524399	0.00705603	0.0423655	0.0689013	0.542968	0.0419731	0.186239	0.117553	0.837495	0.952291	1.03775	1.17246	0.0819401	0.335115	0.528264	0.0546802	3.16143
60	-22.0509	0	-22.0509	12.6145	0.0345393	0.064392	0.110537	0.0465014	0.0384452	0.0925407	0.0342316	0.0057072	0.028516	0.315773	0.108779	0.055217	0.0785291	0.00547156	0.00610443	0.34339	0.320243	0.40479	0.0214906	0.0201637	0.0176169	0.267117	0.00815004	0.197124	0.0714706	0.0166753	0.0131017	0.0819726	0.114551	0.00152816	0.0351399	0.00703988	0.0122963	0.166982	0.0666614	0.0090683	0.385498	0.0329386	0.0925842	0.0307788	0.0415144	0.09116	0.0222929	0.0181797	0.131882	0.00897538	0.726414	0.0173109	0.0972387	0.668213	0.887423	1.0675	1.37686	0.0079595	0.736537	0.208552	0.046951	3.91863
70	-21.1852	0	-21.1852	28.3033	0.0450915	0.0655546	0.138715	0.0438101	0.0811132	0.0783885	0.167684	0.0149141	0.112499	0.102786	0.0926741	0.120088	0.0471152	0.00426199	0.00956102	0.192984	0.332606	0.188596	0.0490067	0.0155357	0.008207	0.264373	0.00694526	0.131665	0.112667	0.00597468	0.00516798	0.285011	0.0902225	0.00279354	0.0493985	0.00732508	0.0074902	0.122175	0.0309116	0.0243244	0.244846	0.0392439	0.192934	0.0992045	0.0598094	0.0418008	0.0181305	0.0177282	0.0312643	0.00626711	0.753417	0.0174951	0.173828	0.772211	0.929307	1.05055	1.24794	0.0445414	0.369737	0.530099	0.0556223	3.75361
80	-18.7161	0	-18.7161	24.1518	0.139388	0.082722	0.0838757	0.0121782	0.0472983	0.0605671	0.0681945	0.0199786	0.107805	0.480641	0.118519	0.103143	0.0292078	0.0100996	0.0162251	0.113392	0.30906	0.220084	0.01967	0.0178651	0.05184	0.156851	0.0159861	0.124074	0.0730197	0.00557618	0.00996033	0.0468375	0.166666	0.0317812	0.0455181	0.00714755	0.0151021	0.106933	0.0216477	0.0222238	0.19488	0.0160577	0.115122	0.0709655	0.0619809	0.0795154	0.0278545	0.449775	0.149562	0.00376679	0.236961	0.0321732	0.127762	0.754503	0.922653	1.05375	1.2691	0.791014	0.0748891	0.111169	0.0229271	3.52745
90	-13.9034	0	-13.9034	9.77671	0.0454628	0.182143	0.0449391	0.00556263	0.0535285	0.0189023	0.0435145	0.0317693	0.0691802	0.273104	0.100444	0.11301	0.0689201	0.0345311	0.06507	0.0869958	0.218418	0.17851	0.0408485	0.0126001	0.0199088	0.43388	0.0344929	0.0575925	0.0511262	0.00726403	0.0137372	0.0128522	0.0350168	0.0619898	0.032108	0.0120511	0.00303817	0.0666292	0.0190013	0.0364936	0.18932	0.0248251	0.0748693	0.0524736	0.0418043	0.138201	0.01193	0.535801	0.154506	0.0345193	0.110448	0.00321711	0.161508	0.627725	0.869146	1.07279	1.43034	0.252922	0.153063	0.521663	0.0723516	3.11806
100	-15.3709	0	-15.3709	8.6095	0.0479628	0.0750229	0.0391989	0.00300036	0.0599442	0.025751	0.0229804	0.0256836	0.0920933	0.158074	0.0460483	0.174567	0.0616121	0.00821055	0.15342	0.047471	0.0471705	0.121179	0.0246399	0.00610767	0.0392459	0.525771	0.0836601	0.0710631	0.0137348	0.0208466	0.0101591	0.01088	0.0590484	0.238891	0.156002	0.018175	0.000720859	0.119542	0.0683925	0.148863	0.161237	0.00893374	0.0292561	0.0748332	0.0202879	0.132415	0.0185578	0.342886	0.0523976	0.00162876	0.0155586	9.00626e-05	0.587439	0.606038	0.858851	1.07528	1.45983	0.0813648	0.880623	0.0295189	0.00849349	3.27065
110	-21.2117	0	-21.2117	14.0025	0.0356369	0.0462979	0.057041	0.0147768	0.0909386	0.0891797	0.0970209	0.284547	0.0595493	0.126955	0.144429	0.089982	0.0309855	0.00751697	0.260678	0.0344137	0.0790981	0.391519	0.0233513	0.0159935	0.0403407	0.248029	0.114674	0.0654138	0.00825528	0.0373385	0.00790347	0.0198292	0.0657886	0.0937941	0.105846	0.0212668	0.00134859	0.0307399	0.120639	0.230274	0.276563	0.0113511	0.0115198	0.102356	0.035564	0.171287	0.0277285	0.0825148	0.181177	0.000144137	0.0140301	8.94257e-05	0.722045	0.683675	0.894096	1.06528	1.35695	0.52219	0.383192	0.0559841	0.0386337	3.82776
120	-13.7405	0	-13.7405	13.4333	0.219673	0.0475727	0.222488	0.0196226	0.0792083	0.0493628	0.10236	0.0761047	0.0234204	0.0990429	0.127358	0.058376	0.0517605	0.00644015	0.323996	0.030569	0.0676687	0.343126	0.0122595	0.0283636	0.0240341	0.0581787	0.0918995	0.0440228	0.00444969	0.0181415	0.0589104	0.0270246	0.0320245	0.0817932	0.0473546	0.00718489	0.00097489	0.0472765	0.0303854	0.150628	0.138404	0.00438046	0.00658664	0.0588742	0.0414146	0.0763933	0.044379	0.125262	0.283423	3.72122e-05	0.0353984	0.00150674	0.554372	0.677605	0.891496	1.06616	1.36473	0.0167314	0.967782	0.0139651	0.0015217	3.08349
130	-15.0195	0	-15.0195	4.18597	0.166826	0.0232173	0.252197	0.0127335	0.0204243	0.0438595	0.0708862	0.197681	0.0330342	0.175714	0.0601313	0.0165836	0.0384184	0.00257167	0.180697	0.0248575	0.114406	0.321627	0.0244309	0.0904776	0.00846674	0.127546	0.105307	0.0270122	0.0194756	0.0161728	0.246528	0.0294066	0.0837321	0.0914783	0.0308236	0.0247291	0.000817479	0.0375187	0.03193	0.00614606	0.104877	0.0028382	0.00293932	0.161997	0.0654284	0.0242629	0.137422	0.0615831	0.14364	4.7679e-05	0.347697	0.000954032	0.446078	0.464295	0.781404	1.08433	1.66997	0.148553	0.671416	0.169537	0.0104951	3.25763
140	-15.5936	0	-15.5936	17.421	0.0640604	0.0522196	0.204025	0.00993839	0.00236473	0.0401936	0.0734407	0.0270228	0.0160474	0.314344	0.0713861	0.0329462	0.0844853	0.00528196	0.0702649	0.0302341	0.254404	0.261964	0.0418292	0.0548654	0.00990899	0.0341436	0.106071	0.0717089	0.0165813	0.0251449	0.401718	0.00567712	0.103317	0.191562	0.0147625	0.0148599	0.000348531	0.138626	0.0353897	0.00417092	0.0456707	0.00381457	0.0181709	0.0607299	0.0991846	0.0400613	0.09592	0.422767	0.0942533	0.000374194	0.252663	0.00138428	0.228559	0.714001	0.906716	1.0606	1.31868	0.326658	0.0468345	0.617012	0.00949517	3.24886
150	-20.9926	0	-20.9926	31.7145	0.0608674	0.0356913	0.0875572	0.00811661	0.00178344	0.032811	0.118123	0.0358597	0.0104896	0.239524	0.118565	0.0861921	0.092422	0.00609895	0.135066	0.041124	0.101871	0.178277	0.264636	0.0416488	0.0148219	0.0313272	0.0875207	0.34981	0.0153973	0.0330552	0.260986	0.00311629	0.117431	0.252647	0.0227259	0.00542934	0.00116612	0.17648	0.0395149	0.00795933	0.0488104	0.00249383	0.0332982	0.0824885	0.211622	0.0650414	0.157428	0.0527009	0.03851	7.86968e-05	0.400838	5.58635e-05	0.507816	0.784179	0.9337	1.04831	1.23381	0.219903	0.112703	0.640925	0.0264691	3.71729
160	-27.6443	0	-27.6443	30.0209	0.0214764	0.0416969	0.0471459	0.00520977	0.00154387	0.0432989	0.0415444	0.022799	0.0165533	0.175259	0.314547	0.164002	0.208585	0.0742276	0.102043	0.0375392	0.0627306	0.0968523	0.799229	0.0629281	0.0167502	0.0647439	0.136323	0.104764	0.079333	0.140088	0.116241	0.00227421	0.125023	0.194361	0.0217949	0.00846027	0.00697329	0.179478	0.0948205	0.00672238	0.0297009	0.00289568	0.0522541	0.335137	0.101057	0.0805174	0.152011	0.199349	0.21263	0.00112857	0.493614	6.87934e-05	0.0932094	0.778482	0.931619	1.04938	1.24052	0.0651877	0.341931	0.161956	0.430925	4.39094
170	-19.7644	0	-19.7644	32.4952	0.0266773	0.0696299	0.178979	0.0167095	0.000725051	0.0956892	0.0339576	0.0275078	0.0555241	0.148235	0.217915	0.224163	0.148549	0.139193	0.0381658	0.0274272	0.103145	0.0466917	0.169753	0.0376566	0.0135348	0.0388032	0.105131	0.0888304	0.274402	0.0331737	0.0618852	0.000984957	0.0412029	0.0822306	0.0391067	0.0101791	0.00296936	0.0860664	0.0362684	0.0124214	0.0433113	0.00438	0.231893	0.165779	0.253591	0.0171301	0.140999	0.0143308	0.0131396	0.00991791	0.829523	4.98139e-06	0.133084	0.786659	0.9346	1.04785	1.2309	0.00641018	0.314917	0.0954357	0.583238	3.59057
