Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-19839.2	-19806.7	-32.4446	0.0615014	0.0341906	0.0443996	0.0278322	0.0107348	0.0682048	0.462042	0.0293564	0.2547	0.18836	0.0562903	0.0832091	0.263036	0.257532	0.199365	0.224428	0.0984239	0.063032	0.188603	0.0943052	0.00187514	0.0727912	0.169721	0.0176588	0.117184	0.0232845	0.120179	0.0909582	0.0650215	0.237544	0.00842052	0.117702	0.00457255	0.0678241	0.151827	0.0487803	0.189132	0.0167362	0.0646878	0.0807384	0.254937	0.00271734	0.0288806	4.66272
10	-18202.2	-18176.7	-25.4901	0.0931143	0.12291	0.09547	0.0700632	0.0478536	0.0980381	0.218868	0.0718677	0.163143	0.0937798	0.154448	0.131982	0.11104	0.210703	0.0998619	0.146103	0.182534	0.129291	0.213019	0.142703	0.00511292	0.229059	0.12428	0.0231979	0.0508342	0.0271286	0.0786277	0.043574	0.0519422	0.0553135	0.0101333	0.111433	0.00532276	0.0360835	0.0586274	0.00921837	0.0474925	0.0154896	0.0444265	0.112873	0.199032	0.00287461	0.0283928	3.96726
20	-17670.5	-17646	-24.4947	0.146203	0.114026	0.112038	0.0722657	0.0956272	0.137008	0.277154	0.118045	0.215887	0.0961546	0.154448	0.110698	0.11104	0.17385	0.117036	0.0517427	0.0897436	0.134642	0.220703	0.13692	0.0163509	0.17933	0.159936	0.0231979	0.026087	0.0493148	0.0713182	0.0508694	0.0238113	0.0181492	0.0104515	0.093682	0.00978092	0.082899	0.0163838	0.0127372	0.0484064	0.0134863	0.0422828	0.0913952	0.11282	0.0115812	0.0182163	3.86772
30	-17125.5	-17103.2	-22.3678	0.126054	0.195554	0.106349	0.0710263	0.117224	0.108711	0.225764	0.10261	0.146206	0.117183	0.143289	0.101432	0.123332	0.192662	0.10954	0.0798303	0.0934526	0.167947	0.240055	0.134388	0.0951721	0.10213	0.137392	0.00852605	0.049473	0.0160101	0.0366654	0.0341844	0.0512017	0.0206998	0.00574885	0.0486186	0.00613869	0.108714	0.0113283	0.021615	0.0515966	0.00692917	0.0279106	0.0547672	0.0161743	0.0346007	0.00682967	3.65503
40	-16829.9	-16808.6	-21.2508	0.129235	0.161108	0.136977	0.0846379	0.119714	0.0933609	0.195279	0.108742	0.0839141	0.143664	0.180987	0.082943	0.122623	0.101194	0.086595	0.072583	0.138947	0.170184	0.247169	0.127603	0.105841	0.0980131	0.122307	0.00140542	0.0462756	0.0136391	0.0313247	0.0425444	0.037872	0.017025	0.0125831	0.0256917	0.0201808	0.0268731	0.0204922	0.0107454	0.0201026	0.0253009	0.0823307	0.0453561	0.0147744	0.0901424	0.0450518	3.54333
50	-16400.6	-16380.2	-20.3122	0.119177	0.18467	0.154526	0.0724474	0.13078	0.116218	0.220399	0.124377	0.0904389	0.1106	0.138526	0.0824736	0.0841441	0.0949391	0.0998835	0.0816346	0.124464	0.146671	0.159152	0.119389	0.126354	0.0957967	0.133699	0.00149498	0.0277447	0.017599	0.0195984	0.0387783	0.0346951	0.0176624	0.0631171	0.0325767	0.00912919	0.0533738	0.015686	0.0154952	0.0213532	0.0667709	0.0295696	0.0361115	0.0310685	0.085074	0.0218185	3.44948
60	-16387.3	-16368.6	-18.6871	0.132555	0.183957	0.126662	0.0814454	0.121326	0.126996	0.203187	0.0933114	0.0794589	0.0989655	0.107949	0.0614295	0.0959654	0.106864	0.106407	0.0556919	0.117242	0.14876	0.142684	0.102703	0.108342	0.0969089	0.129609	0.00102235	0.045942	0.018498	0.0227644	0.0466609	0.0199305	0.00914828	0.0704236	0.0317038	0.00448012	0.0560655	0.0296385	0.0177069	0.0218208	0.0479467	0.0431729	0.0277291	0.026002	0.0955702	0.0223163	3.28696
70	-16369.7	-16350.6	-19.0498	0.122208	0.183957	0.0956199	0.0626889	0.121326	0.123987	0.248145	0.0877485	0.0891314	0.120357	0.127061	0.0580249	0.108066	0.093176	0.103706	0.0647912	0.123904	0.147556	0.132516	0.111952	0.102194	0.0976413	0.146463	0.00211061	0.0457241	0.0265415	0.0241683	0.0360407	0.0362726	0.0115459	0.059905	0.0317622	0.00442318	0.0468228	0.0204502	0.0180949	0.0303513	0.0272363	0.0411152	0.0442711	0.048392	0.074471	0.0213184	3.32324
80	-16338.1	-16319.5	-18.5889	0.103315	0.183957	0.112941	0.0848492	0.106388	0.110842	0.225802	0.091562	0.0791863	0.105358	0.132344	0.0798453	0.108066	0.101345	0.10111	0.0676014	0.13555	0.150972	0.132516	0.0927858	0.112209	0.0943239	0.122091	0.00349828	0.0457241	0.0210801	0.0231736	0.0385195	0.035328	0.0179852	0.0640212	0.0380307	0.00257897	0.0450167	0.0388875	0.0223332	0.0229145	0.0283222	0.0152129	0.0331768	0.038073	0.0808092	0.0274953	3.27714
90	-16299.8	-16281.8	-17.9968	0.102226	0.188915	0.115946	0.0936153	0.0860163	0.125766	0.188319	0.0932886	0.0764068	0.109266	0.121626	0.0715819	0.0846261	0.101345	0.0973715	0.0528088	0.13555	0.162796	0.131286	0.120706	0.0976022	0.110662	0.116863	0.00574697	0.0473151	0.0276713	0.0273665	0.0510299	0.0266483	0.0369874	0.0611233	0.0304113	0.00717911	0.0421056	0.0156385	0.0160881	0.0383511	0.0427616	0.0144267	0.0229165	0.0279288	0.0688922	0.0227527	3.21793
