Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-22950.2	-22926.6	-23.56	5.83251	0.0658448	0.117531	0.0214556	0.00530718	0.133713	0.0289717	0.268208	0.0820601	0.0667609	0.208832	0.150382	0.138999	0.0512973	0.0472564	0.0621049	0.00858385	0.200179	0.0315918	0.0908977	0.333075	0.0276382	0.0135212	0.049765	0.0438648	0.279632	0.0128394	0.0887289	0.126478	0.177637	0.113828	0.215933	0.0920516	0.1385	0.0740914	0.0311029	0.00223162	0.10189	0.0742726	0.071892	0.0150844	0.098823	0.116334	0.0644057	0.00981549	0.0478122	0.0988528	0.180018	0.529333	0.134168	0.533366	0.82152	1.08163	1.56348	0.440599	0.0457984	0.445424	0.0681784	4.1436
10	-16520.3	-16501.6	-18.7492	3.04328	0.196076	0.128431	0.0292217	0.0368805	0.121658	0.198614	0.158046	0.0983772	0.123783	0.0849286	0.0544409	0.12115	0.187515	0.148442	0.183875	0.0270061	0.107379	0.0666438	0.14778	0.149224	0.0790555	0.0324992	0.112502	0.0499922	0.160904	0.0206739	0.0432352	0.0632747	0.0633364	0.0538546	0.0679712	0.0565482	0.109445	0.0404593	0.0396713	0.00089531	0.0574781	0.108455	0.0256105	0.0457373	0.0271903	0.0406245	0.0215256	0.0527644	0.112915	0.15369	0.112444	0.494132	0.0740542	0.392583	0.733897	1.08272	1.7908	0.289159	0.388487	0.158795	0.163559	3.69041
20	-14680	-14647.3	-32.6742	0.304577	0.291248	0.220155	0.108634	0.0746803	0.119555	0.207726	0.22906	0.184802	0.128747	0.109892	0.095908	0.250495	0.283398	0.215969	0.306449	0.170906	0.0933648	0.135539	0.176155	0.261228	0.292363	0.0904014	0.210481	0.0339432	0.130852	0.0278855	0.0148523	0.0677013	0.0256922	0.0321401	0.0167233	0.0257702	0.177603	0.00899478	0.0289895	0.00199902	0.0880392	0.0354158	0.0185537	0.0350632	0.0120546	0.0502868	0.0205826	0.0657444	0.159023	0.17554	0.021151	0.564383	0.0141592	0.00567391	0.10806	0.603409	3.28286	0.292078	0.397662	0.142838	0.167422	5.1103
30	-14490.1	-14447.7	-42.4561	0.302632	0.35971	0.264279	0.333904	0.159985	0.158705	0.221392	0.243368	0.210648	0.178204	0.117206	0.0604767	0.180121	0.34102	0.209032	0.54513	0.171117	0.131308	0.15417	0.250696	0.232238	0.310574	0.109331	0.280548	0.0153038	0.0841445	0.00920271	0.0160006	0.0720169	0.0731641	0.0735504	0.0272586	0.0121144	0.297969	0.00850691	0.0308353	0.000487552	0.0476217	0.0200011	0.0174646	0.0144944	0.0153872	0.0233714	0.00644793	0.0709705	0.171664	0.104372	0.0228323	0.609246	0.020915	0.00551122	0.106544	0.600196	3.28775	0.292078	0.397662	0.142838	0.167422	6.08851
40	-14314.5	-14259.6	-54.8852	0.278638	0.464434	0.385913	0.32151	0.135511	0.174876	0.34709	0.331087	0.135576	0.21776	0.162245	0.0959159	0.157022	0.538135	0.300567	0.678423	0.143483	0.16436	0.174453	0.266229	0.422962	0.307201	0.19912	0.170719	0.0109501	0.142196	0.0073153	0.0263193	0.0905962	0.0809377	0.054108	0.0295913	0.0133011	0.244272	0.00224348	0.0265884	0.000133365	0.0254909	0.192471	0.0208971	0.00403376	0.0202234	0.0414305	0.00395812	0.0734323	0.177618	0.0976701	0.00685974	0.63038	0.01404	0.00372283	0.0880175	0.558122	3.35014	0.295532	0.329464	0.132995	0.24201	7.33165
50	-14243.3	-14181	-62.2873	0.299923	0.618327	0.344475	0.326984	0.149248	0.133379	0.295841	0.402651	0.135576	0.284931	0.150049	0.15673	0.160986	0.495686	0.450834	0.629919	0.235069	0.212327	0.188541	0.268573	0.422962	0.328723	0.189107	0.16581	0.0054619	0.114296	0.00849682	0.0365543	0.093671	0.148682	0.0165356	0.0301975	0.00698284	0.318149	0.00342403	0.0836587	0.00014023	0.0840262	0.203992	0.048332	0.000403774	0.0749888	0.0366579	0.0102728	0.0739376	0.178841	0.081988	0.00717287	0.634718	0.0233431	0.00528904	0.104435	0.595673	3.2946	0.300235	0.336181	0.135111	0.228473	8.07165
60	-14194.2	-14127.2	-66.9552	0.277944	0.52076	0.371956	0.276563	0.128935	0.147448	0.342974	0.384278	0.14675	0.285304	0.255489	0.103254	0.132208	0.521443	0.48012	0.588965	0.289864	0.159936	0.225946	0.31675	0.5293	0.413043	0.267005	0.219565	0.0038996	0.150403	0.0207665	0.0600016	0.100518	0.0907438	0.0280393	0.0239794	0.00154163	0.237579	0.00882703	0.144697	0.000916771	0.0977071	0.202052	0.0403406	0.000620869	0.146436	0.0429286	0.02881	0.062875	0.165552	0.0702621	0.0137846	0.665532	0.0219951	0.00367711	0.0874882	0.556835	3.352	0.308374	0.342664	0.116082	0.23288	8.53867
70	-13938.3	-13861.7	-76.6329	0.279154	0.372852	0.619748	0.516691	0.154151	0.187301	0.434886	0.465692	0.148791	0.214659	0.289754	0.146812	0.164739	0.521443	0.461188	0.6601	0.337255	0.245175	0.303443	0.408331	0.440823	0.545317	0.267005	0.175739	0.0143862	0.210485	0.0259726	0.0292794	0.133375	0.145157	0.0110865	0.011394	0.0111254	0.14271	0.0477137	0.143972	0.00757802	0.0468999	0.173748	0.0815726	0.00142565	0.121459	0.0259024	0.0392833	0.0532978	0.140335	0.0595597	0.0116849	0.721502	0.013621	0.00375698	0.0884107	0.559075	3.34876	0.308374	0.342664	0.116082	0.23288	9.50642
80	-13881.1	-13800.1	-81.0385	0.24835	0.373357	0.54709	0.368085	0.191806	0.171769	0.391592	0.472328	0.171862	0.31156	0.225605	0.0733265	0.13885	0.735217	0.479172	0.84758	0.337255	0.276814	0.253416	0.411331	0.564822	0.469385	0.398237	0.237854	0.0221363	0.285069	0.044077	0.0180059	0.0970592	0.0677079	0.00802872	0.0147642	0.0156379	0.054411	0.170241	0.117795	0.0168959	0.0211906	0.1993	0.0755742	0.00122745	0.208492	0.0162263	0.0451385	0.0348009	0.142671	0.0630471	0.0200217	0.733514	0.00594497	0.00203577	0.0655013	0.497994	3.43447	0.381769	0.306301	0.103764	0.208167	9.94729
90	-13879.8	-13795.9	-83.9523	0.260362	0.397511	0.477171	0.394843	0.188751	0.202465	0.427373	0.432462	0.165546	0.301996	0.26369	0.142669	0.0865255	0.538761	0.572694	1.1505	0.337255	0.294271	0.294785	0.484537	0.432642	0.632549	0.4647	0.228652	0.048573	0.289799	0.024163	0.0269787	0.0844994	0.0590753	0.0109603	0.0194768	0.0125515	0.0326179	0.117865	0.0635638	0.0145209	0.04795	0.124328	0.102243	0.000600431	0.159618	0.0251679	0.0616547	0.0221974	0.149636	0.0658679	0.0198476	0.727139	0.0153123	0.00263027	0.0742686	0.522834	3.40027	0.374631	0.333309	0.0992821	0.192778	10.2386
