Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-4.92888	0	-4.92888	21.2794	0.169538	0.187347	0.0981031	0.0117325	0.0256959	0.0668493	0.0634043	0.0745648	0.0416143	0.0585234	0.0398319	0.00424111	0.0515294	0.148213	0.112931	0.189942	0.17258	0.260304	0.112516	0.249255	0.068672	0.0226332	0.123777	0.289176	0.0569367	0.0168962	0.0615971	0.0594028	0.11538	0.285188	0.0411985	0.0241817	0.00576743	0.0527514	0.0214452	0.0073661	0.000774757	0.144894	0.0253623	0.0310999	0.00205548	0.0309818	0.0612058	0.00398059	0.0834123	0.175671	0.0289064	0.673438	0.0345918	0.739468	0.916855	1.05637	1.28731	0.495573	0.503588	0.000419501	0.000419569	3.68746
10	-12.9046	0	-12.9046	51.2602	0.107195	0.224729	0.0370943	0.0332788	0.0337212	0.06455	0.0363592	0.114609	0.0583527	0.0624598	0.16311	0.00775133	0.0285908	0.15132	0.0776439	0.0461889	0.200057	0.12635	0.0432764	0.0677149	0.361334	0.0337513	0.178926	0.135541	0.08246	0.0262012	0.285883	0.0599599	0.36293	0.144825	0.038502	0.0170233	0.0217632	0.0326178	0.0274246	0.0469863	0.00022942	0.138724	0.0302793	0.0284912	0.0014981	0.48758	0.107846	0.0509796	0.182206	0.629781	0.00889166	0.092137	0.0360042	0.828467	0.949252	1.03961	1.18267	0.495573	0.503588	0.000419501	0.000419569	4.33513
20	-9.439	0	-9.439	70.4027	0.234254	0.076253	0.0217663	0.157017	0.0183707	0.0426288	0.0325101	0.172923	0.0748867	0.150051	0.030411	0.00482415	0.096428	0.182529	0.0472867	0.0662169	0.170818	0.0404846	0.113838	0.103231	0.341839	0.0337563	0.0849493	0.118879	0.0690923	0.209064	0.14463	0.314014	0.0593185	0.0684792	0.0554798	0.0209267	0.0118229	0.04294	0.0491443	0.0209845	0.000376045	0.170293	0.0288064	0.0573722	0.000896217	0.0405502	0.112512	0.0206259	0.00917676	0.502797	0.0884544	0.128323	0.250623	0.852836	0.957355	1.03453	1.15528	0.495573	0.503588	0.000419501	0.000419569	3.89285
30	-19.3946	0	-19.3946	49.8844	0.147617	0.0664219	0.0583084	0.232939	0.0166311	0.0452692	0.0521521	0.333929	0.0543099	0.37911	0.0638862	0.0112023	0.426496	0.062264	0.0563733	0.0702937	0.169937	0.0519681	0.304347	0.0934729	0.0921296	0.00797249	0.0488952	0.2565	0.144329	0.07987	0.043853	0.22106	0.0392219	0.0689796	0.244134	0.0248628	0.0268421	0.0436585	0.05882	0.0310827	0.000459704	0.337734	0.0482886	0.0372404	0.00183408	0.180034	0.170956	0.179257	0.261936	0.384586	0.0384039	0.0760955	0.0597217	0.826207	0.948485	1.04007	1.18524	0.484457	0.514703	0.000419912	0.00041998	4.90569
40	-29.4537	0	-29.4537	60.4329	0.0992167	0.0541001	0.0660542	0.441447	0.0131959	0.0459443	0.132233	0.467287	0.171633	0.263269	0.244213	0.0142792	0.338549	0.0355922	0.0924721	0.137471	0.308601	0.0604131	0.624608	0.0590843	0.0382595	0.0089748	0.0512941	0.192164	0.0347661	0.0873447	0.275431	0.086115	0.143433	0.0517309	0.0892601	0.0139296	0.145473	0.0454728	0.0933546	0.0740296	0.000263171	0.354555	0.125075	0.115913	0.00848152	0.157872	0.0810571	0.0195574	0.0187073	0.0511401	0.572415	0.129245	0.208935	0.841555	0.953643	1.03691	1.16789	0.50098	0.498151	0.000434233	0.000434304	5.94391
50	-20.4881	0	-20.4881	49.8629	0.0530975	0.0385223	0.0959762	0.0873865	0.0423761	0.0366444	0.280434	0.191678	0.102943	0.272408	0.0290346	0.054052	0.129594	0.0417331	0.0678261	0.0925177	0.173598	0.0664606	0.604665	0.0296666	0.106638	0.130833	0.165372	0.128844	0.0357469	0.0130093	0.287574	0.174799	0.0759506	0.085741	0.095133	0.00665714	0.0322358	0.0546913	0.0995977	0.132976	0.000853213	0.221385	0.0998593	0.322999	0.0153108	0.0669011	0.11955	0.106169	0.210523	0.0127065	0.0512358	0.210312	0.409054	0.826171	0.948473	1.04008	1.18528	0.518531	0.480631	0.000418961	0.000419029	4.96327
60	-22.3761	0	-22.3761	94.6059	0.0214324	0.0207153	0.0900419	0.18163	0.0546402	0.0546591	0.066361	0.290595	0.141412	0.36369	0.057018	0.0754626	0.136497	0.0500387	0.24973	0.0720286	0.108713	0.0503733	0.270965	0.0398913	0.187668	0.142057	0.216525	0.175188	0.0371179	0.013014	0.0831274	0.0754519	0.116503	0.0558495	0.191733	0.00700803	0.0496858	0.0292876	0.148422	0.0763226	0.0014945	0.261246	0.161852	0.138028	0.0568353	0.134991	0.173049	0.181594	0.235537	0.226174	0.245245	0.0522022	0.0592474	0.872509	0.963669	1.03029	1.13353	0.518531	0.480631	0.000418961	0.000419029	4.92835
70	-27.4409	0	-27.4409	77.7998	0.0338853	0.014592	0.0858759	0.07706	0.0628945	0.0765011	0.0905885	0.325376	0.0414864	0.104679	0.0507605	0.0504338	0.220535	0.113107	0.276303	0.061224	0.328307	0.138236	0.439741	0.0243848	0.0444236	0.255877	0.166653	0.0858873	0.186997	0.0137535	0.163306	0.0473779	0.0791833	0.0815446	0.467464	0.0227481	0.221837	0.0431076	0.155549	0.120023	0.000448085	0.182153	0.201439	0.104571	0.118142	0.0558942	0.163043	0.25223	0.00242848	0.367554	0.0477839	0.0364306	0.293573	0.859794	0.959611	1.03305	1.14755	0.512545	0.486627	0.000414124	0.000414192	5.59739
80	-29.1415	0	-29.1415	26.3727	0.0181955	0.0869845	0.0703328	0.168927	0.0986059	0.235014	0.192412	0.236626	0.071659	0.110248	0.0428652	0.487286	0.212499	0.0303628	0.101354	0.0422348	0.362861	0.217122	0.37748	0.0425857	0.0266297	0.247066	0.04264	0.0734538	0.176429	0.0317887	0.12971	0.190473	0.13172	0.125167	0.0910204	0.0362609	0.373427	0.0160463	0.0745304	0.171241	0.000379791	0.227837	0.0743006	0.115908	0.0926782	0.0706535	0.317515	0.30001	0.0314486	0.393793	0.253038	0.00336443	0.0183466	0.764475	0.926423	1.05196	1.25714	0.510202	0.488949	0.000424346	0.000424415	6.04253
90	-21.7203	0	-21.7203	17.4173	0.0432497	0.0362782	0.189512	0.0940047	0.0560705	0.315203	0.11109	0.081426	0.114447	0.193249	0.014086	0.125446	0.225228	0.0813426	0.169816	0.0330523	0.432097	0.164584	0.207011	0.0505929	0.0139535	0.19966	0.0477849	0.0631369	0.0666484	0.0149697	0.108926	0.0754792	0.261821	0.100422	0.243846	0.0448276	0.14244	0.0386859	0.197181	0.311302	0.00173397	0.161655	0.0657521	0.129582	0.0638533	0.129206	0.124533	0.306408	0.361348	0.00382736	0.321782	0.0062158	0.000419252	0.713974	0.906704	1.0606	1.31872	0.510202	0.488949	0.000424346	0.000424415	5.34519
